"Offense","Black","White","Hispanic","Other","Total"
"Child Molestation","0","0","0","0","0"
"Child Pornography","0","0","0","0","0"
"Computer Luring Of Child For Sexual Conduct","0","0","0","0","0"
"Entice Child For Indecent Purposes","0","0","0","0","0"
"Exploitation/Child","0","0","0","0","0"
"Fondling","0","0","0","0","0"
"Fondling A Child","0","0","0","0","0"
"Forcible Sexual Intercourse","0","0","0","0","0"
"Gratification/Lust","0","0","0","0","0"
"Human Trafficking","1","0","0","0","1"
"Kidnap Minor","0","0","0","0","0"
"Rape","0","0","0","0","0"
"Sexual Battery","0","4","0","0","4"
"Statutory Rape","0","2","0","0","2"
"Unlawful Touching/Child","0","1","0","0","1"
"Video Voyeurism-Photographing Or Filming","0","0","0","0","0"
"Total","1","7","0","0","8"
