"Race","Male","Female","Total","Percent"
"White","726","224","950","41.38%"
"Black","1,237","79","1,316","57.32%"
"Hispanic","14","2","16","0.70%"
"Other","11","1","12","0.52%"
"Unknown","2","0","2","0.09%"
"Total","1,990","306","2,296","100.00%"
