"County","Offenders","Percent"
"ADAMS","4","0.63%"
"ALCORN","6","0.94%"
"AMITE","3","0.47%"
"ATTALA","4","0.63%"
"BOLIVAR","3","0.47%"
"CALHOUN","3","0.47%"
"CARROLL","1","0.16%"
"CHICKASAW","5","0.78%"
"CHOCTAW","4","0.63%"
"CLAIBORN","1","0.16%"
"CLARKE","5","0.78%"
"CLAY","11","1.72%"
"COAHOMA","4","0.63%"
"COPIAH","5","0.78%"
"COVINGTON","2","0.31%"
"DESOTO","28","4.38%"
"FORREST","19","2.97%"
"FRANKLIN","2","0.31%"
"GEORGE","6","0.94%"
"GREENE","3","0.47%"
"GRENADA","2","0.31%"
"HANCOCK","6","0.94%"
"HARRISON","74","11.58%"
"HINDS","26","4.07%"
"HOLMES","1","0.16%"
"ISSAQUENA","1","0.16%"
"ITAWAMBA","6","0.94%"
"JACKSON","30","4.69%"
"JASPER","2","0.31%"
"JEFF","1","0.16%"
"JEFFERSON","2","0.31%"
"JONES","21","3.29%"
"KEMPER","3","0.47%"
"LAFAYETTE","16","2.50%"
"LAMAR","8","1.25%"
"LAUDERDALE","16","2.50%"
"LAWRENCE","2","0.31%"
"LEAKE","3","0.47%"
"LEE","12","1.88%"
"LINCOLN","12","1.88%"
"LOWNDES","24","3.76%"
"MADISON","23","3.60%"
"MARION","9","1.41%"
"MARSHALL","11","1.72%"
"MONROE","6","0.94%"
"MONTGOMERY","2","0.31%"
"NESHOBA","7","1.10%"
"NEWTON","3","0.47%"
"NOXUBEE","2","0.31%"
"OKTIBBEHA","11","1.72%"
"PANOLA","7","1.10%"
"PEARL","16","2.50%"
"PERRY","1","0.16%"
"PIKE","8","1.25%"
"PONTOTOC","7","1.10%"
"PRENTISS","10","1.56%"
"QUITMAN","4","0.63%"
"RANKIN","31","4.85%"
"SCOTT","7","1.10%"
"SIMPSON","5","0.78%"
"STONE","4","0.63%"
"SUNFLOWER","5","0.78%"
"TALLAHATCHIE","3","0.47%"
"TATE","9","1.41%"
"TIPPAH","3","0.47%"
"TISHOMINGO","3","0.47%"
"TUNICA","5","0.78%"
"UNAVAILABLE","2","0.31%"
"UNION","10","1.56%"
"WALTHALL","5","0.78%"
"WARREN","13","2.03%"
"WASHINGTON","10","1.56%"
"WAYNE","3","0.47%"
"WEBSTER","1","0.16%"
"WINSTON","3","0.47%"
"YALOBUSHA","1","0.16%"
"YAZOO","2","0.31%"
"Total","639","100.00%"
