"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","769","678","1,361","480"
"CMCF","787","957","951","316"
"SMCI","750","839","1,127","457"
"County Jails (approved)","714","485","49","24"
"County Jails (unapproved)","222","288","75","23"
"Private Prisons","433","805","2,282","655"
"Regional Correctional Facilities","954","985","1,547","758"
"Community Work Centers","930","552","5","0"
"Community Trusties","4","0","0"
"Pending File Review","5 2
4","30","11","3"
"Court Order","132","153","78","13"
"TOTAL CUSTODY POPULATION","5,720","5,776","7,486","2,729"
"Intensive Supervison Program","817","696","46","9 6"
"Earned Release Supervision","465","553","592"
"Medical Release","14","4","5","0 1"
"Other Custody","184","155","82","6"
