"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","799","742","1,286","463"
"CMCF","829","1,064","896","310"
"SMCI","762","901","1,065","465"
"County Jails (approved)","673","516","38","26"
"County Jails (unapproved)","181","251","69","30"
"Private Prisons","449","895","2,297","661"
"Regional Correctional Facilities","982","1,208","1,388","780"
"Community Work Centers","1,006","593","4","0"
"Community Trusties","4","0","0"
"Pending File Review","7 3
1","41","15","4"
"Court Order","101","126","55","18"
"TOTAL CUSTODY POPULATION","5,820","6,341","7,113","2,757"
"Intensive Supervison Program","809","759","40"
"Earned Release Supervision","478","567","555","9 5"
"Medical Release","11","5","6"
"Other Custody","196","160","73","0 1
7"
