"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","778","769","155","1,204","470"
"CMCF","903","1,089","183","791","341"
"SMCI","701","825","180","973","503"
"County Jails (approved)","743","613","17","54","33"
"County Jails (unapproved)","132","213","18","57","24"
"Private Prisons","434","855","265","2,078","635"
"Regional Correctional Facilities","988","1,068","301","1,205","785"
"Community Work Centers","921","564","1","4","0"
"Community Trusties","9 1","0","0","0"
"Pending File Review","1","4 5","1","3","0"
"Court Order","121","157","5","38","18"
"TOTAL CUSTODY POPULATION","5,741","6,162","1,126","6,407","2,809"
"% OF TOTAL OFFENSES","25.81%","27.70%","5.06%","28.80%","12.63%"
"Intensive Supervison Program","809","772","19","46","8"
"Earned Release Supervision","508","512","196","410","2"
