"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","743","712","1,310","483"
"CMCF","804","1,032","883","325"
"SMCI","787","876","1,048","443"
"County Jails (approved)","766","495","44","21"
"County Jails (unapproved)","162","249","74","31"
"Private Prisons","466","876","2,189","655"
"Regional Correctional Facilities","979","1,084","1,440","742"
"Community Work Centers","913","537","4","0"
"Community Trusties","5","0","0"
"Pending File Review","7 1
8","26","9","1"
"Court Order","133","154","74","19"
"TOTAL CUSTODY POPULATION","5,778","6,046","7,075","2,720"
"Intensive Supervison Program","828","735","38"
"Earned Release Supervision","469","596","529","8 6"
"Medical Release","14","5","5","0"
"Other Custody","186","155","78","15"
