"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","802","694","1,330","472"
"CMCF","836","965","960","299"
"SMCI","764","821","1,115","467"
"County Jails (approved)","654","502","40","29"
"County Jails (unapproved)","152","229","55","20"
"Private Prisons","438","831","2,359","663"
"Regional Correctional Facilities","933","1,044","1,525","769"
"Community Work Centers","965","591","5","0"
"Community Trusties","4","0","0"
"Pending File Review","8 1
6","15","11","3"
"Court Order","152","189","84","18"
"TOTAL  CUSTODY POPULATION","5,720","5,885","7,484","2,740"
"Intensive Supervison Program","799","724","49"
"Earned Release Supervision","462","559","592","9 4"
"Medical Release","12","7","6"
"Other Custody","194","150","76","0 1
7"
