"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","786","766","157","1,197","473"
"CMCF","853","1,114","176","818","353"
"SMCI","718","811","184","978","492"
"County Jails (approved)","755","639","22","58","36"
"County Jails (unapproved)","122","181","16","37","27"
"Private Prisons","436","840","262","2,086","631"
"Regional Correctional Facilities","973","1,096","311","1,178","789"
"Community Work Centers","901","560","1","4","0"
"Community Trusties","9 9","0","0","0"
"Pending File Review","5 1
2","1","6","0"
"Court Order","143","173","10","52","23"
"TOTAL CUSTODY POPULATION","5,705","6,197","1,140","6,414","2,824"
"% OF TOTAL OFFENSES","25.61%","27.81%","5.12%","28.79%","12.68%"
"Intensive Supervison Program","805","785","18","48","7"
"Earned Release Supervision","507","511","189","404","2"
