"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","","","",""
"","","Black","","","White","","","Hispanic","","","Native American","","","Asian","","","Data Unavailable","","TOTAL"
"LOCATION","Male","","Female","Male","","Female","Male","","Female","Male","","Female","Male","","Female","Male","Female","",""
"MSP","2,056","","0","950","","0","22","","0","4","","0","4","","0","1","0","","3,037"
"CMCF","835","","365","456","","412","7","","4","2","","2","3","","1","1","0","","2,088"
"SMCI","1,666","","0","918","","0","30","","0","1","","0","7","","0","0","0","","2,622"
"County Jails (approved)","695","","26","399","","43","8","","0","1","","0","0","","1","0","0","","1,173"
"County Jails (unapproved)","71","","4","22","","7","0","","0","0","","0","1","","0","1","0","","106"
"Youthful Offender Facility","29","","0","4","","0","0","","0","0","","0","0","","0","0","0","","33"
"Private Prisons","3,217","","0","1,062","","0","39","","0","8","","0","8","","0","0","0","","4,334"
"Regional Correctional Facilities","2,700","","132","1,189","","146","37","","3","3","","0","7","","0","0","0","","4,217"
"Community Work Centers","607","","56","309","","124","0","","1","2","","0","0","","1","1","0","","1,101"
"Transitional Housing","2","","0","0","","0","0","","0","0","","0","0","","0","0","0","","2"
"TVC","2","","0","1","","0","0","","0","0","","0","0","","0","0","0","","3"
"Community Trusties","5","","0","1","","0","0","","0","0","","0","0","","0","0","0","","6"
"Pending File Review","100","","11","72","","10","1","","0","0","","0","1","","0","0","0","","195"
"Court Order","133","","5","77","","16","0","","1","0","","0","1","","0","0","0","","233"
"","12,118","","599","5,460","","758","144","","9","21","","2","32","","3","4","0","","19,150"
"Intensive Supervison Program","527","","146","404","","234","5","","5","0","","2","3","","0","1","1","","1,328"
"Earned Release Supervision","736","","71","242","","56","4","","0","3","","0","1","","0","0","0","","1,113"
"Medical Release","11","","0","7","","2","0","","0","0","","0","0","","0","0","0","","20"
"Other Custody","241","","12","183","","20","49","","6","2","","1","4","","0","3","0","","521"
"At Large","16","","0","7","","2","3","","0","0","","0","0","","0","0","0","","28"
"Off-Grounds Medical (Hospital)","5","","0","7","","0","0","","0","0","","0","0","","0","0","0","","12"
"TOTAL","13,654","","828","6,310","","1,072","205","","20","26","","5","40","","3","8","1","","22,172"
"% OF TOTAL OFFENDERS","61.58%","","3.73%","28.46%","","4.83%",".92%","",".09%",".12%","",".02%",".18%","",".01%",".04%",".00%","","100.00%"
"BY OFFENSE AND LOCATION","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","AGGRAVATED","","","","","","","","","","",""
"","","","DRUG","","PROPERTY","","","ASSUALT","","","VIOLENT","","","SEX","","","","",""
"LOCATION","","","OFFENSES","","OFFENSES","","","OFFENSES","","","OFFENSES","","","OFFENSES","","","","TOTAL",""
"MSP","","","600","","563","","","175","","","1,204","","","495","","","","3,037",""
"CMCF","","","535","","534","","","105","","","668","","","246","","","","2,088",""
"SMCI","","","481","","604","","","133","","","917","","","487","","","","2,622",""
"County Jails (approved)","","","624","","376","","","25","","","91","","","57","","","","1,173",""
"Youthful Offender Facility","","","","","1","","","7","","","20","","","4","","","","33",""
"County Jails (unapproved)","","","7","","60","","","5","","","12","","","2","","","","106",""
"Private Prisons","","","510","","690","","","277","","","2,152","","","705","","","","4,334",""
"Regional Correctional Facilities","","","728","","779","","","360","","","1,471","","","879","","","","4,217",""
"Community Work Centers","","","681","","413","","","0","","","7","","","0","","","","1,101",""
"Community Trusties","","","6","","0","","","0","","","0","","","0","","","","6",""
"Transitional Housing","","","1","","1","","","0","","","0","","","0","","","","2",""
"TVC","","","","","2","","","1","","","0","","","0","","","","3",""
"Pending File Review","","","4","","98","","","7","","","23","","","3","","","","195",""
"Court Order","","","92","","74","","","15","","","42","","","10","","","","233",""
"TOTAL CUSTODY POPULATION","","","4,350","","4,195","","","1,110","","","6,607","","","2,888","","","","19,150",""
"% OF TOTAL OFFENSES","","","22.72%","","21.91%","","","5.80%","","","34.50%","","","15.08%","","","","100.00%",""
"Intensive Supervison Program","","","566","","707","","","14","","","36","","","5","","","","1,328",""
"Earned Release Supervision","","","307","","241","","","166","","","394","","","5","","","","1,113",""
"Medical Release","","","11","","7","","","0","","","2","","","","","","","20",""
"Other Custody","","","193","","200","","","16","","","84","","","8","","","","521",""
"At Large","","","","","5","","","0","","","7","","","0","","","","28",""
"Off-Grounds Medical (Hospital)","","","","","","","","1","","","1","","","7","","","","12",""
"TOTAL","","","5,435","","5,366","","","1,307","","","7,131","","","2,933","","","","22,172",""
"% OF TOTAL OFFENSES","","","24.51%","","24.20%","","","5.90%","","","32.16%","","","13.23%","","","","100.00%","1 2
0 6
6 2
11
0 2"
