"INMATE STATISTICS (continued)","","","","","","","","","","","","","","","","",""
"","","% OF","","","","","","","% OF","","","","","","","","% OF"
"","","TOTAL MALE","","","","","","","TOTAL FEMALE","","","","NO. OF","","","","TOTAL"
"RACE
MALE","","POPULATION","","","","FEMALE","","","POPULATION","","","","OFFENDERS","","","","OFFENDERS"
"Black
15,132","","67.02%","","","","908","","","42.10%","","","","16,040","","","","64.85%"
"White
7,128","","31.57%","","","","1,221","","","56.61%","","","","8,349","","","","33.76%"
"Hispanic
225","","1.00%","","","","17","","",".79%","","","","242","","","",".98%"
"Native American
35","",".16%","","","","","","",".32%","","","","42","","","",".17%"
"Asian
49","",".22%","","","","","","",".05%","","","","50","","","",".20%"
"Data Unavailable
8","",".04%","","","","3","","",".14%","","","","11","","","",".04%"
"TOTAL
22,577","","100.00%","","","","2,157","","","100.00%","","","","24,734","","","","100.00%"
"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","",""
"","","Black","","","White","","","Hispanic","","Native American","","","Asian","","","Data Unavailable","TOTAL"
"LOCATION","Male","","Female","Male","Female","","Male","Female","","Male","Female","Male","","Female","Male","Female",""
"MSP","2,233","","0","1,041","0","","16","0","","9","0","5","","0","0","0","3,304"
"CMCF","1,153","","426","643","496","","15","3","","2","3","5","","0","0","0","2,746"
"SMCI","2,078","","0","1,077","0","","46","0","","4","0","0","","10","0","0","3,215"
"County Jails (approved)","792","","27","467","37","","12","0","","3","1","0","","0","0","0","1,339"
"County Jails (unapproved)","118","","8","68","8","","0","0","","0","0","0","","0","1","0","203"
"Youthful Offender Facility","25","","0","11","0","","0","0","","0","0","0","","0","0","0","36"
"Private Prisons","3,263","","0","1,039","0","","33","0","","7","0","3","","0","2","0","4,347"
"Regional Correctional Facilities","2,765","","140","1,303","144","","41","3","","3","1","8","","0","0","0","4,408"
"Community Work Centers","619","","50","352","147","","0","1","","2","0","5","","0","0","0","1,176"
"Community Trusties","5","","0","6","0","","0","0","","0","0","0","","0","0","0","11"
"Pending File Review","41","","5","26","6","","0","0","","0","0","0","","0","0","0","78"
"Court Order","153","","10","99","19","","1","0","","0","0","3","","1","0","0","286"
"","13,245","","666","6,132","857","","164","7","","30","5","29","","11","3","0","21,149"
"Intensive Supervison Program","642","","158","462","245","","6","5","","2","1","3","","0","2","3","1,529"
"Earned Release Supervision","981","","71","351","81","","4","0","","2","0","4","","0","0","0","1,494"
"Medical Release","17","","0","4","2","","0","0","","0","0","0","","0","0","0","23"
"Other Custody","222","","13","165","29","","52","5","","2","1","3","","0","3","0","495"
"At Large","17","","0","8","2","","3","0","","0","0","0","","0","0","0","30"
"Off-Grounds Medical (Hospital)","9","","0","4","1","","0","0","","0","0","0","","0","0","0","14"
"TOTAL","15,133","","908","7,126","1,217","","229","17","","36","7","39","","11","8","3","24,734"
"% OF TOTAL OFFENDERS","61.18%","","3.67%","28.81%","4.92%","",".93%",".07%","",".15%",".03%",".16%","",".04%",".03%",".01%","7 1
100.00%"
