"","Mississippi Department of Corrections","",""
"","","Fact Sheet",""
"","","As of August 1, 2018",""
"INMATE STATISTICS (continued)","","",""
"Community Trusties","0","6",".03%"
"Emergency Suspension","","0",".00%"
"Pending File Review","00","146",".70%"
"TVC","0","37",".18%"
"Transitional Housing","0","35","0.2%"
"Court Order","0","232","1.11%"
"RRP","0","117",".56%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,881","19,131","91.27%"
"Intensive Supervision Program","0","744","3.55%"
"Conditional Release","0","3","0.01%"
"Earned Release Supervision Program","0","571","2.72%"
"Failure to Register-Monitoring","0","6","0.03%"
"Medical Release","0","16","0.08%"
"TOTAL COMMUNITY CORRECTIONS","0","1,340","6.39%"
"Other Custody","","453","2.16%"
"Off-Grounds Medical (Hospital)","00","11","0.05%"
"At Large (Escapees & Walk-Aways)","0","27","0.13%"
"TOTAL","23,881","20,962","100.00%"
