"BY OFFENSE AND LOCATION","","","","","",""
"","DRUG","","PROPERTY","VIOLENT","",""
"LOCATION","OFFENSES","","OFFENSES","OFFENSES","TOTAL",""
"MSP","","1,398","1,287","3,009","","5,694"
"CMCF","","1,002","1,136","989","","3,127"
"SMCI","","696","724","715","","2,135"
"County Jails (approved)","","802","671","272","","1,745"
"County Jails (unapproved)","","65","85","34","","184"
"Private Prisons","","673","967","1,831","","3,471"
"Regional Correctional Facilities","","865","575","1,153","","2,593"
"Community Work Centers","","846","668","11","","1,525"
"Community Trusties","","8","9","5","","22"
"","","6,355","6,122","8,019","","20,496"
"Intensive Supervison Program","","472","879","39","","1,390"
"Earned Release Supervision","","521","499","237","","1,257"
"Medical Release","","0","0","0","","0"
