"TOTAL
22,186","","100.00%","","2,389","","100.00%","","24,575","","","100.00%","","",""
"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","",""
"","","Black","","White","","Hispanic","","","Native American","Asian","","Data Unavailable","","TOTAL"
"LOCATION","Male","","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female",""
"MSP","3,120","","0","1,175","0","37","0","5","0","8","0","0","0","4,345"
"CMCF","1,040","","720","607","653","12","7","2","2","0","4","0","1","3,048"
"SMCI","1,437","","0","699","0","25","0","4","0","7","0","0","0","2,172"
"County Jails (approved)","603","","72","465","81","6","3","1","1","4","0","4","1","1,241"
"County Jails (unapproved)","16","","1","3","0","1","0","0","0","0","0","0","0","21"
"Private Prisons","3,642","","0","1,129","0","18","0","7","0","10","0","0","0","4,806"
"Regional Correctional Facilities","2,249","","0","733","0","23","0","0","0","5","0","2","0","3,012"
"Community Work Centers","953","","117","455","101","4","2","1","0","2","0","1","0","1,636"
"Community Trusties","9","","0","6","0","0","0","0","0","0","0","0","0","15"
"Pending File Review","5","","1","2","1","0","0","0","0","0","0","0","0","9"
"Court Order","188","","16","152","33","1","0","2","0","3","0","1","0","396"
"","13,262","","927","5,426","869","127","12","22","3","39","4","8","2","20,701"
"Intensive Supervison Program","665","","149","592","185","4","1","0","0","3","1","8","1","1,609"
"Earned Release Supervision","1,148","","117","470","79","5","1","1","0","0","0","0","0","1,821"
"Medical Release","4","","0","5","2","0","0","0","0","0","0","0","0","11"
"Other Custody","132","","12","124","16","21","0","0","0","0","0","2","0","307"
"At Large","74","","3","37","4","3","0","0","0","0","0","0","0","121"
"Off-Grounds Medical (Hospital)","2","","0","2","1","0","0","0","0","0","0","0","0","5"
"TOTAL","15,287","","1,208","6,656","1,156","160","14","23","3","42","5","18","3","24,575"
"% OF TOTAL OFFENSES","62.21%","","4.92%","27.08%","4.70%","0.65%","0.06%","0.09%","0.01%","0.17%","0.02%","0.07%","0.01%","100.00%"
