"","","Fact Sheet",""
"","","As of February 1, 2019",""
"INMATE STATISTICS (continued)","","",""
"Community Trusties","0","7",".03%"
"Emergency Suspension","","0",".00%"
"Pending File Review","","110",".53%"
"TVC","0","72",".34%"
"Transitional Housing","0","21",".10%"
"Court Order","0","284","1.36%"
"RRP","0","75",".36%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,881","19,033","91.10%"
"Intensive Supervision Program","0","769","3.68%"
"Conditional Release","0","3","0.01%"
"Earned Release Supervision Program","0","566","2.71%"
"Failure to Register-Monitoring","0","6","0.03%"
"Medical Release","0","15","0.07%"
"TOTAL COMMUNITY CORRECTIONS","0","1,359","6.50%"
"Other Custody","","466","2.23%"
"Off-Grounds Medical (Hospital)","","10","0.05%"
"At Large (Escapees & Walk-Aways)","0","25","0.12%"
"TOTAL","23,881","20,893","00
00
100.00%"
