"","Fact Sheet","",""
"","","As of October 1, 2019",""
"INMATE STATISTICS (continued)","","",""
"Community Trusties","0","8",".04%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","67",".32%"
"TVC","0","82",".39%"
"Transitional Housing","0","41",".19%"
"Court Order","0","230","1.09%"
"RRP","0","78",".37%"
"TOTAL CAPACITY & CUSTODY POPULATION","24,225","19,119","90.76%"
"Intensive Supervision Program","0","826","3.92%"
"Conditional Release","0","2","0.01%"
"Earned Release Supervision Program","0","563","2.67%"
"Failure to Register-Monitoring","0","6","0.03%"
"Medical Release","0","14","0.07%"
"TOTAL COMMUNITY CORRECTIONS","0","1,411","6.70%"
"Other Custody","0","500","2.37%"
"Off-Grounds Medical (Hospital)","0","12","0.06%"
"At Large (Escapees & Walk-Aways)","0","24","0.11%"
"TOTAL","24,225","21,066","100.00%"
