"","","Fact Sheet","","",""
"","","As of January 2, 2018","","",""
"INMATE STATISTICS (continued)","","","","",""
"Community Trusties","0","","41","",".20%"
"Emergency Suspension","","","0","",".00%"
"Pending File Review","","","114","",".55%"
"TVC","0","","19","",".09%"
"Transitional Housing","0","","34","","0.2%"
"Court Order","0","","200","",".96%"
"RRP","0","","105","",".50%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,881","","18,963","","91.17%"
"Intensive Supervision Program","0","","722","","3.47%"
"Conditional Release","0","","3","","0.01%"
"Earned Release Supervision Program","0","","598","","2.88%"
"Failure to Register-Monitoring","0","","5","","0.02%"
"Medical Release","0","","13","","0.06%"
"TOTAL COMMUNITY CORRECTIONS","0","","1,341","","6.45%"
"Other Custody","0","","457","","2.20%"
"Off-Grounds Medical (Hospital)","0","","10","","0.05%"
"At Large (Escapees & Walk-Aways)","0","","29","","0.14%"
"TOTAL","23,881","","20,800","","100.00%"
"BY RACE/SEX AND LOCATION","","","","",""
"% OF","","","% OF","","% OF"
"TOTAL MALE","","","TOTAL FEMALE","NO. OF","TOTAL"
"RACE
MALE
POPULATION","","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black
12,308
64.40%","","615","36.41%","12,923","62.13%"
"White
6,531
34.17%","","1,051","62.23%","7,582","36.45%"
"Hispanic
200
1.05%","","12",".71%","212","1.02%"
"Native American
27
.14%","","6",".36%","33",".16%"
"Asian
37
.19%","","4",".24%","41",".20%"
"Data Unavailable
8
.04%","","1",".06%","9",".04%"
"TOTAL
19,111
100.00%","","1,689","100.00%","20,800","00
100.00%"
