"TOTAL
23,386","","100.00%","","2,422","","100.00%","","25,808","","","100.00%","","",""
"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","",""
"","","Black","","White","","Hispanic","","","Native American","Asian","","Data Unavailable","","TOTAL"
"LOCATION","Male","","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female",""
"MSP","2,922","","0","1,137","0","30","0","2","0","3","0","0","0","4,094"
"CMCF","1,265","","725","700","661","25","11","3","2","1","1","1","0","3,395"
"SMCI","2,043","","0","988","0","51","0","3","0","10","0","0","0","3,095"
"County Jails (approved)","623","","92","351","107","12","1","1","0","0","0","1","0","1,188"
"County Jails (unapproved)","182","","7","84","12","1","0","3","0","0","1","0","1","291"
"Private Prisons","4,087","","0","1,342","0","36","0","8","0","8","0","2","0","5,483"
"Regional Correctional Facilities","2,113","","0","783","0","20","0","3","0","7","0","1","0","2,927"
"Community Work Centers","959","","110","443","142","13","0","2","0","1","0","0","0","1,670"
"Community Trusties","12","","0","6","0","0","0","0","0","0","0","0","0","18"
"Pending File Review","46","","7","24","14","0","0","0","0","0","0","0","0","91"
"Court Order","180","","9","82","16","1","0","0","0","1","0","0","0","289"
"","14,432","","950","5,940","952","189","12","25","2","31","2","5","1","22,541"
"Intensive Supervison Program","457","","144","415","165","4","0","2","0","4","1","1","1","1,194"
"Earned Release Supervision","1,077","","92","420","58","4","0","1","0","3","0","0","0","1,655"
"Medical Release","18","","4","12","2","0","0","0","0","0","0","0","0","36"
"Other Custody","130","","12","119","14","41","3","0","1","1","0","4","1","326"
"At Large","29","","1","14","2","3","0","0","0","0","0","0","0","49"
"Off-Grounds Medical (Hospital)","4","","0","1","1","0","1","0","0","0","0","0","0","7"
"TOTAL","16,147","","1,203","6,921","1,194","241","16","28","3","39","3","10","3","25,808"
"% OF TOTAL OFFENSES","62.57%","","4.66%","26.82%","4.63%","0.93%","0.06%","0.11%","0.01%","0.15%","0.01%","0.04%","0.01%","100.00%"
