"County","Offenders","Percent"
"ADAMS","200","0.97%"
"ALCORN","258","1.25%"
"AMITE","75","0.36%"
"ATTALA","156","0.76%"
"BENTON","39","0.19%"
"BOLIVAR","216","1.05%"
"CALHOUN","109","0.53%"
"CARROLL","67","0.33%"
"CHICKASAW","136","0.66%"
"CHOCTAW","50","0.24%"
"CLAIBORN","61","0.30%"
"CLARKE","103","0.50%"
"CLAY","198","0.96%"
"COAHOMA","243","1.18%"
"COPIAH","163","0.79%"
"COVINGTON","62","0.30%"
"DESOTO","840","4.09%"
"FORREST","684","3.33%"
"FRANKLIN","56","0.27%"
"GEORGE","141","0.69%"
"GREENE","71","0.35%"
"GRENADA","186","0.90%"
"HANCOCK","272","1.32%"
"HARRISON","1933","9.40%"
"HINDS","1400","6.81%"
"HOLMES","92","0.45%"
"HUMPHREYS","63","0.31%"
"ISSAQUENA","3","0.01%"
"ITAWAMBA","147","0.71%"
"JACKSON","893","4.34%"
"JASPER","60","0.29%"
"JEFF","52","0.25%"
"JEFFERSON","32","0.16%"
"JONES","431","2.10%"
"KEMPER","54","0.26%"
"LAFAYETTE","252","1.23%"
"LAMAR","199","0.97%"
"LAUDERDALE","774","3.76%"
"LAWRENCE","85","0.41%"
"LEAKE","158","0.77%"
"LEE","658","3.20%"
"LEFLORE","241","1.17%"
"LINCOLN","273","1.33%"
"LOWNDES","628","3.05%"
"MADISON","781","3.80%"
"MARION","244","1.19%"
"MARSHALL","218","1.06%"
"MONROE","200","0.97%"
"MONTGOMERY","86","0.42%"
"NESHOBA","202","0.98%"
"NEWTON","92","0.45%"
"NOXUBEE","43","0.21%"
"OKTIBBEHA","397","1.93%"
"OUT-OF-STATE","3","0.01%"
"PANOLA","301","1.46%"
"PEARL","422","2.05%"
"PERRY","79","0.38%"
"PIKE","346","1.68%"
"PONTOTOC","185","0.90%"
"PRENTISS","189","0.92%"
"QUITMAN","51","0.25%"
"RANKIN","928","4.51%"
"SCOTT","251","1.22%"
"SHARKEY","20","0.10%"
"SIMPSON","99","0.48%"
"SMITH","34","0.17%"
"STONE","96","0.47%"
"SUNFLOWER","132","0.64%"
"TALLAHATCHIE","83","0.40%"
"TATE","187","0.91%"
"TIPPAH","113","0.55%"
"TISHOMINGO","82","0.40%"
"TUNICA","103","0.50%"
"UNION","110","0.53%"
"UNAVAILABLE","202","0.98%"
"WALTHALL","98","0.48%"
"WARREN","292","1.42%"
"WASHINGTON","465","2.26%"
"WAYNE","149","0.72%"
"WEBSTER","61","0.30%"
"WILKINSON","38","0.18%"
"WINSTON","122","0.59%"
"YALOBUSHA","99","0.48%"
"YAZOO","146","0.71%"
"Total","20563","100.00%"
