"Female","Black","White","Hispanic","Other","Unknown","Total","Percent"
"Less than 1 year","24","84","0","0","1","109","6.33%"
"1-2  years","80","157","3","1","0","241","14.00%"
"3-5  years","145","299","3","1","2","450","26.13%"
"6-10  years","150","250","5","1","0","406","23.58%"
"11-20 years","143","159","3","2","0","307","17.83%"
"21-30  years","35","38","0","0","0","73","4.24%"
"Greater than 30 Years","14","15","1","0","0","30","1.74%"
"Life","58","46","0","0","1","105","6.10%"
"Death","0","1","0","0","0","1","0.06%"
"Total","649","1049","15","5","4","1722","100.00%"
