"Facility","Mar","Apr","May","Jun"
"Mississippi State Penitentiary","3,351","3,376","3,336","3,339"
"Central Mississippi Correctional Facility","3,414","3,413","3,327","3,339"
"Youthful Offender Unit","31","31","30","31"
"South Mississippi Correctional Institution","3,064","3,056","3,000","2,996"
"County Jails","1,346","1,358","1,311","1,373"
"Community Work Centers","1,010","1,013","947","934"
"County/Regional Facilities","3,813","3,831","3,796","3,775"
"Private Prisons","3,035","3,141","3,063","3,041"
"Restitution Centers","14","14","12","13"
"Total","19,078","19,233","18,822","18,841"
