"COUNTY","OFFENDERS","%"
"Alcorn","275","3.21"
"Montgomery","130","1.52"
"Attala","223","2.61"
"Panola","375","4.38"
"Benton","55",".64"
"Pontotoc","333","3.89"
"Bolivar","311","3.64"
"Prentiss","247","2.89"
"Calhoun","171","2.00"
"Quitman","90","1.05"
"Carroll","93","1.09"
"Sunflower","305","3.57"
"Chickasaw","232","2.71"
"Tallahatchie","141","1.65"
"Choctaw","58",".68"
"Tate","187","2.19"
"Coahoma","349","4.08"
"Tippah","102","1.19"
"Desoto","859","10.04"
"Tishomingo","86","1.01"
"Grenada","360","4.21"
"Tunica","171","2.00"
"Itawamba","178","2.08"
"Union","185","2.16"
"Lafayette","269","3.14"
"Washington","517","6.04"
"Lee","929","10.86"
"Webster","85",".99"
"Leflore","340","3.97"
"Winston","136","1.59"
"Marshall","350","4.09"
"Yalobusha","100","1.17"
"Monroe","312","3.65"
"Adams","264","4.58"
"Lincoln","336","5.83"
"Amite","104","1.80"
"Madison","738","12.80"
"Claiborne","76","1.32"
"Pike","642","11.13"
"Copiah","270","4.68"
"Rankin","852","14.77"
"Franklin","68","1.18"
"Sharkey","28",".49"
"Hinds","1,380","23.93"
"Walthall","180","3.12"
"Holmes","124","2.15"
"Warren","376","6.52"
"Humphreys","71","1.23"
"Wilkinson","45",".78"
"Issaquena","6",".10"
"Yazoo","163","2.83"
"Jefferson","44",".76"
"Clarke","124","1.22"
"Lawrence","57",".56"
"Clay","368","3.61"
"Leake","173","1.70"
"Covington","65",".64"
"Lowndes","1,117","10.97"
"Forrest","851","8.35"
"Marion","260","2.55"
"George","123","1.21"
"Neshoba","227","2.23"
"Greene","64",".63"
"Newton","150","1.47"
"Hancock","182","1.79"
"Noxubee","80",".79"
"Harrison","1,956","19.20"
"Oktibbeha","565","5.55"
"Jackson","797","7.82"
"Pearl River","334","3.28"
"Jasper","80",".79"
"Perry","74",".73"
"Jeff Davis","67",".66"
"Scott","294","2.89"
"Jones","457","4.49"
"Simpson","106","1.04"
"Kemper","46",".45"
"Smith","58",".57"
"Lamar","242","2.38"
"Stone","83",".81"
"Lauderdale","986","9.68"
"Wayne","200","1.96"
"Verification Pending","65",".27"
"TOTAL","24,572","100.00"
