"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","827","675","1,561","483"
"CMCF","963","930","1,009","321"
"SMCI","908","813","1,014","406"
"County Jails (approved)","564","378","59","20"
"County Jails (unapproved)","79","86","31","12"
"Private Prisons","752","1,112","2,665","773"
"Regional Correctional Facilities","525","454","1,043","507"
"Community Work Centers","1,021","552","13","0"
"Community Trusties","7 7","1","6","0"
"Pending File Review","2","56","10","2 1"
"Court Order","102","94","55","4"
"TOTAL CUSTODY POPULATION","5,820","5,151","7,466","2,538"
"Intensive Supervison Program","756","731","45"
"Earned Release Supervision","367","497","575","5 6"
"Medical Release","24","12","7","0 1"
"Other Custody","139","124","80","2"
