"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","794","640","1,482","482"
"CMCF","982","970","1,021","342"
"SMCI","887","776","1,055","413"
"County Jails (approved)","577","371","53","18"
"County Jails (unapproved)","109","120","45","7"
"Private Prisons","742","1,097","2,684","791"
"Regional Correctional Facilities","515","459","1,049","496"
"Community Work Centers","1,046","581","13","0"
"Community Trusties","5","1","6","0","12"
"Pending File Review","33","37","8","1", "79"
"Court Order","105","78","46","14","243"
"TOTAL CUSTODY POPULATION","5,795","5,130","7,462","2,564", "20,951"
"Intensive Supervison Program","774","734","45","6 6"
"Earned Release Supervision","345","504","601"
"Medical Release","23","14","7","0 1"
"Other Custody","140","129","78","2"
