"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","883","724","1,684","497","3,788"
"CMCF","924","976","1,053","315","3,268"
"SMCI","922","808","985","396","3,111"
"County Jails (approved)","588","368","47","13","1,016"
"County Jails (unapproved)","101","118","34","16","269"
"Private Prisons","808","1,099","2,539","762","5,208"
"Regional Correctional Facilities","515","445","1,051","515","2,526"
"Community Work Centers","1,099","599","13","0","1,711"
"Community Trusties","10","3","6","0","19"
"Pending File Review","69","49","8","127"
"Court Order","83","78","37","1 1
2","210"
"TOTAL CUSTODY POPULATION","6,002","5,267","7,457","2,527","21,253"
"Intensive Supervison Program","731","738","43","4 6","1,516"
"Earned Release Supervision","383","503","543","1,435"
"Medical Release","20","12","8","0 1","40"
"Other Custody","136","120","82","3","351"
"At Large","11","24","8","0 2","43"
"Off-Grounds Medical (Hospital)","2","1","3","8"
