"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","829","645","1,468","512"
"CMCF","934","946","1,011","329"
"SMCI","883","775","1,089","421"
"County Jails (approved)","626","433","53","19"
"County Jails (unapproved)","121","119","43","16"
"Private Prisons","748","1,097","2,672","779"
"Regional Correctional Facilities","484","492","1,046","503"
"Community Work Centers","1,070","570","6","0"
"Community Trusties","1","6","0"
"Pending File Review","8 5
4","44","3"
"Court Order","107","104","47","1 1
4"
"TOTAL CUSTODY POPULATION","5,864","5,226","7,444","2,594"
"Intensive Supervison Program","793","726","46"
"Earned Release Supervision","334","494","611","5 4"
"Medical Release","23","15","7"
"Other Custody","140","129","81","0 1
2"
