"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","779","595","1,435","468"
"CMCF","902","909","954","328"
"SMCI","857","776","1,094","434"
"County Jails (approved)","671","421","49","22"
"County Jails (unapproved)","73","71","23","12"
"Private Prisons","726","1,103","2,684","767"
"Regional Correctional Facilities","664","622","1,149","561"
"Community Work Centers","968","532","4","0"
"Community Trusties","4","5","0"
"Pending File Review","7 5
7","62","15"
"Court Order","94","102","44","2 1
8"
"TOTAL CUSTODY POPULATION","5,798","5,197","7,456","2,612"
"Intensive Supervison Program","828","730","40"
"Earned Release Supervision","333","493","622","6 5"
"Medical Release","22","15","7"
"Other Custody","142","129","83","0 1
3"
