"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","841","694","1,596","493"
"CMCF","918","944","1,034","330"
"SMCI","917","806","986","397"
"County Jails (approved)","599","393","40","19"
"County Jails (unapproved)","142","139","46","13"
"Private Prisons","794","1,091","2,642","770"
"Regional Correctional Facilities","527","451","1,045","502"
"Community Work Centers","1,014","571","9","0"
"Community Trusties","1","6","0"
"Pending File Review","9","47","6","3 1"
"Court Order","94","100","43","5"
"TOTAL CUSTODY POPULATION","5,912","5,237","7,453","2,542"
"Intensive Supervison Program","737","721","44"
"Earned Release Supervision","376","519","564"
"Medical Release","24","12","7"
"Other Custody","140","121","80","2"
"At Large","11","23","8"
"Off-Grounds Medical (Hospital)","1","1","9","7 5
0 1
4 6
0 0"
