"","Mississippi Department of Corrections","",""
"","Fact Sheet","",""
"","","As of March 1, 2019",""
"INMATE STATISTICS (continued)","","",""
"Community Trusties","0","7",".03%"
"Emergency Suspension","00","0",".00%"
"Pending File Review","","74",".35%"
"TVC","0","74",".35%"
"Transitional Housing","0","25",".12%"
"Court Order","0","271","1.29%"
"RRP","0","76",".36%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,881","19,159","91.04%"
"Intensive Supervision Program","0","781","3.71%"
"Conditional Release","0","3","0.01%"
"Earned Release Supervision Program","0","567","2.69%"
"Failure to Register-Monitoring","0","6","0.03%"
"Medical Release","0","15","0.07%"
"TOTAL COMMUNITY CORRECTIONS","0","1,372","6.52%"
"Other Custody","","481","2.29%"
"Off-Grounds Medical (Hospital)","00","7","0.03%"
"At Large (Escapees & Walk-Aways)","0","25","0.12%"
"TOTAL","23,881","21,044","100.00%"
