"INMATES","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population","20,526","46.76%",""
"Community Corrections (ERS, ISP, Medical Release)","2,620","5.97%",""
"Other Custody","200","0.46%",""
"At Large (Escapees & Walk-Aways)","158","0.36%",""
"University of MS Medical Center","2","0.00%",""
"","23,506","53.55%","Inmate Total"
"PAROLEES","1,797","4.09%",""
"PROBATIONERS","18,595","42.36%",""
"","20,392","46.45%","Parolees & Probationers Total"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","43,898","100.00%",""
