"","Fact Sheet","",""
"","","As of March 2 , 2020",""
"INMATE STATISTICS (continued)","","",""
"Community Trusties","0","5",".02%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","114",".55%"
"TVC","0","64",".31%"
"Transitional Housing","0","9",".04%"
"Court Order","0","248","1.19%"
"RRP","0","73",".35%"
"TOTAL CAPACITY & CUSTODY POPULATION","24,225","18,796","90.40%"
"Intensive Supervision Program","0","911","4.38%"
"Conditional Release","0","3","0.01%"
"Earned Release Supervision Program","0","538","2.59%"
"Failure to Register-Monitoring","0","6","0.03%"
"Medical Release","0","18","0.09%"
"TOTAL COMMUNITY CORRECTIONS","0","1,476","7.10%"
"Other Custody","0","479","2.30%"
"Off-Grounds Medical (Hospital)","0","17","0.08%"
"At Large (Escapees & Walk-Aways)","0","24","0.12%"
"TOTAL","24,225","20,792","100.00%"
