"BY TYPE","","",""
"","NO. OF","% OF TOTAL",""
"","OFFENDERS","OFFENDERS",""
"INMATES","","",""
"Custody Population","20,511","47.21%",""
"Community Corrections (ERS, ISP, Medical Release)","2,588","5.96%",""
"Other Custody","198","0.46%",""
"At Large (Escapees & Walk-Aways)","156","0.36%",""
"University of MS Medical Center","3","0.01%",""
"","23,456","53.99%","Inmate Total"
"PAROLEES","1,777","4.09%",""
"PROBATIONERS","18,211","41.92%",""
"","19,988","46.01%","Parolees & Probationers Total"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","43,444","100.00%",""
