"","","Fact Sheet","","",""
"","","As of September 1 , 2017","","",""
"INMATE STATISTICS (continued)","","","","",""
"Community Trusties","0","","47","",".23%"
"Emergency Suspension","0","","0","",".00%"
"Pending File Review","0","","51","",".25%"
"TVC","0","","8","",".04%"
"Transitional Housing","0","","30","","0.2%"
"Court Order","0","","236","","1.14%"
"RRP","0","","98","",".47%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,881","","18,775","","90.91%"
"Intensive Supervision Program","0","","715","","3.46%"
"Conditional Release","0","","3","","0.01%"
"Earned Release Supervision Program","0","","641","","3.10%"
"Failure to Register-Monitoring","0","","6","","0.03%"
"Medical Release","0","","12","","0.06%"
"TOTAL COMMUNITY CORRECTIONS","0","","1,377","","6.67%"
"Other Custody","0","","459","","2.22%"
"Off-Grounds Medical (Hospital)","0","","11","","0.05%"
"At Large (Escapees & Walk-Aways)","0","","30","","0.15%"
"TOTAL","23,881","","20,652","","100.00%"
"BY RACE/SEX AND LOCATION","","","","",""
"% OF","","","% OF","","% OF"
"TOTAL MALE","","","TOTAL FEMALE","NO. OF","TOTAL"
"RACE
MALE
POPULATION","","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black
12,226
64.65%","","625","35.88%","12,851","62.23%"
"White
6,448
34.10%","","1,080","62.00%","7,528","36.45%"
"Hispanic
167
.88%","","19","1.09%","186",".90%"
"Native American
23
.12%","","11",".63%","34",".16%"
"Asian
38
.20%","","5",".29%","43",".21%"
"Data Unavailable
8
.04%","","2",".11%","10",".05%"
"TOTAL
18,910
100.00%","","1,742","100.00%","20,652","100.00%"
