"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS",""
"Mississippi State Penitentiary","5,551","5,325","40.52%",""
"Central Mississippi Correctional Facility","3,049","2,953","22.47%",""
"South Mississippi Correctional Institution","2,214","2,047","15.58%",""
"County Jails - Approved*","2,146","1,464","11.14%",""
"County Jails - Unapproved**","0","50","0.38%",""
"Community Work Centers","1320","1,302","9.91%",""
"","14,280","13,141","100.00%","State, County Jails, & CWC Facilities"
"Regional Correctional Facilities","","","",""
"Bolivar County Correctional Facility","250","0","0.00%",""
"Carroll County Correctional Facility","250","202","9.91%",""
"George County Correctional Facility","250","200","9.81%",""
"Holmes County Correctional Facility","250","202","9.91%",""
"Issaquena County Correctional Facility","250","199","9.76%",""
"Jefferson County Correctional Facility","250","212","10.40%",""
"Kemper County Correctional Facility","250","223","10.94%",""
"Leake Correctional Facility","250","200","9.81%",""
"Marion County Correctional Facility","250","198","9.72%",""
"Stone County Correctional Facility","250","202","9.91%",""
"Winston County Correctional Facility","250","200","9.81%",""
"","2,750","2,038","100.00%","Regional Facilities"
"Private Prisons","","","",""
"Delta Correctional Facility","1,000","846","23.31%",""
"East MS Correctional Facility","1,000","502","13.83%",""
"Marshall County Correctional Facility","1,000","878","24.19%",""
"Walnut Grove Correctional Facility","750","530","14.60%",""
"Wilkinson County Correctional Facility","900","873","24.06%",""
"","4,650","3,629","100.00%","Private Prisons"
"Community Trusties","30","23","0.11%",""
"Emergency Suspension","","5","0.02%",""
"Court Order","","237","1.08%",""
"TOTAL CAPACITY & CUSTODY POPULATION","21,710","19,073","87.27%",""
"Intensive Supervision Program","","1,477","6.76%",""
"Earned Release Supervision Program","","991","4.53%",""
"Medical Release","0 0 0 0 0","0","0.00%",""
"","","2,468","11.29%","Community Corrections"
"Other Custody","","213","0.97%",""
"University of MS Medical Center","0","6","0.03%",""
"At Large (Escapees & Walk-Aways)","0","95","0.43%",""
"TOTAL","21,710","21,855","100.00%","00"
