"ACTIVE OFFENDER POPULATION","",""
"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population","22,757","42.61%"
"Community Corrections (ERS, ISP, Medical Release)","2,946","5.52%"
"Other Custody","317","0.59%"
"At Large (Escapees & Walk-Aways)","52","0.10%"
"Off-Grounds Medical (Hospital)","9","0.02%"
"INMATE TOTAL","26,081","48.84%"
"PAROLEES","3,634","6.80%"
"PROBATIONERS","23,689","44.36%"
"PAROLEE AND PROBATIONER TOTAL","27,323","51.16%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","53,404","100.00%"
