"","","Fact Sheet","","",""
"","","As of April 1 , 2020","","",""
"BY OFFENSE AND LOCATION","","","","",""
"","DRUG","NON-VIOLENT","SEX","VIOLENT",""
"LOCATION","OFFENSES","OFFENSES","OFFENSES","OFFENSES","TOTAL"
"MSP","264","175","440","1,217","2,096"
"CMCF","871","904","367","1,450","3,592"
"SMCI","429","405","474","1,305","2,613"
"Youthful Offender Facility","0","3","1","16","20"
"County Jails (approved)","379","161","8","147","695"
"County Jails (unapproved)","163","180","21","100","464"
"Private Prisons","304","285","603","2,713","3,905"
"Regional Correctional Facilities","673","535","863","2,182","4,253"
"Community Work Centers","305","105","0","92","502"
"Community Trusties","4","1","0","0","5"
"Pending File Review","39","53","2","21","115"
"Court Order","61","70","12","52","195"
"Transitional Housing","4","5","0","3","12"
"RRP","33","28","0","11","72"
"TVC","41","8","0","14","63"
"TOTAL CUSTODY POPULATION","3,570","2,918","2,791","9,323","18,602"
"% OF TOTAL OFFENSES","19.19%","15.69%","15.00%","50.12%","100.00%"
"Intensive Supervison Program","349","461","16","100","926"
"Earned Release Supervision","28","33","7","469","537"
"Medical Release","8","1","0","18","27"
"Other Custody","165","167","28","116","476"
"At Large","6","11","0","7","24"
"Conditional Release","0","0","0","3","3"
"FTR- Monitoring","2","3","1","0","6"
"Off-Grounds Medical (Hospital)","2","2","1","4","9"
"TOTAL","4,130","3,596","2,844","10,041","20,610"
"% OF TOTAL OFFENSES","20.04%","17.45%","13.80%","48.72%","100.00%"
