"INMATE STATISTICS (continued)","","","","","","","","","","","","","","","","",""
"","","% OF","","","","","","","% OF","","","","","","","","% OF"
"","","TOTAL MALE","","","","","","","TOTAL FEMALE","","","","NO. OF","","","","TOTAL"
"RACE
MALE","","POPULATION","","","","FEMALE","","","POPULATION","","","","OFFENDERS","","","","OFFENDERS"
"Black
12,359","","65.02%","","","","644","","","38.68%","","","","13,003","","","","62.90%"
"White
6,381","","33.57%","","","","997","","","59.88%","","","","7,378","","","","35.69%"
"Hispanic
194","","1.02%","","","","15","","",".90%","","","","209","","","","1.01%"
"Native American
26","",".14%","","","","4","","",".24%","","","","30","","","",".15%"
"Asian
43","",".23%","","","","2","","",".12%","","","","45","","","",".22%"
"Data Unavailable
6","",".03%","","","","3","","",".18%","","","","9","","","",".04%"
"TOTAL
19,009","","100.00%","","","","1,665","","","100.00%","","","","20,674","","","","100.00%"
"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","",""
"","","Black","","White","","","Hispanic","","","Native American","","","Asian","","","Data Unavailable","TOTAL"
"LOCATION","Male","","Female","Male","Female","","Male","Female","","Male","Female","Male","","Female","Male","Female",""
"MSP","2,213","","0","1,116","0","","25","0","","1","0","7","","0","1","0","3,363"
"CMCF","1,500","","346","906","526","","19","6","","6","2","4","","2","1","2","3,320"
"SMCI","2,026","","0","999","0","","25","0","","2","0","4","","0","0","0","3,056"
"County Jails (approved)","392","","5","311","26","","6","0","","0","0","2","","0","1","0","743"
"County Jails (unapproved)","144","","9","98","22","","4","0","","0","0","0","","0","1","0","278"
"Youthful Offender Facility","20","","0","2","0","","1","0","","0","0","0","","0","0","0","23"
"Private Prisons","2,229","","0","837","0","","22","0","","7","0","2","","0","0","0","3,097"
"Regional Correctional Facilities","2,327","","104","1,162","114","","47","2","","7","0","11","","0","0","0","3,774"
"Community Work Centers","381","","37","237","117","","4","4","","2","0","3","","0","0","0","785"
"Community Trusties","27","","0","10","0","","0","0","","0","0","1","","0","0","0","38"
"TVC","0","","0","0","0","","0","0","","0","0","0","","0","0","0","0"
"Pending File Review","50","","3","30","5","","0","0","","0","0","1","","0","0","0","89"
"Court Order","128","","5","74","6","","0","0","","0","0","0","","0","0","0","213"
"","11,437","","509","5,782","816","","153","12","","25","2","35","","2","4","2","18,779"
"Intensive Supervison Program","288","","79","237","116","","3","1","","1","1","3","","1","1","1","732"
"Earned Release Supervision","352","","43","119","34","","3","0","","0","0","0","","0","0","0","551"
"Medical Release","6","","0","3","2","","0","0","","0","0","0","","0","0","0","11"
"Other Custody","226","","11","207","22","","32","2","","0","1","4","","0","1","0","506"
"Transitional Housing","1","","0","0","0","","0","0","","0","0","0","","0","0","0","1"
"At Large","17","","0","6","2","","3","0","","0","0","0","","0","0","0","28"
"Conditional Release","0","","0","1","1","","0","0","","0","0","0","","0","0","0","2"
"Failure to Report-Monitoring","1","","0","2","0","","0","0","","0","0","0","","0","0","0","3"
"RRP","27","","2","18","3","","0","0","","0","0","1","","0","1","0","52"
"Off-Grounds Medical (Hospital)","4","","0","5","0","","0","0","","0","0","0","","0","0","0","9"
"TOTAL","12,359","","644","6,380","996","","194","15","","26","4","43","","3","7","3","20,674"
"% OF TOTAL OFFENDERS","59.78%","","3.12%","30.86%","4.82%","",".94%",".07%","",".13%",".02%",".21%","",".01%",".03%",".01%","100.00%"
