"BY LOCATION","","","",""
"","","NO. OF","% OF TOTAL",""
"","CAPACITY","OFFENDERS","OFFENDERS",""
"Mississippi State Penitentiary","5,551","5,260","40.45%",""
"Central Mississippi Correctional Facility","3,049","2,895","22.26%",""
"South Mississippi Correctional Institution","2,214","2,073","15.94%",""
"County Jails - Approved*","2,137","1,449","11.14%",""
"County Jails - Unapproved**","0","29","0.22%",""
"Community Work Centers","1328","1,299","9.99%",""
"","14,279","13,005","100.00%","State, County Jails, & CWC Facilities"
"Regional Correctional Facilities","","","",""
"Bolivar County Correctional Facility","250","5","0.25%",""
"Carroll County Correctional Facility","250","234","11.57%",""
"Holmes County Correctional Facility","250","219","10.83%",""
"Issaquena County Correctional Facility","250","216","10.68%",""
"Jefferson County Correctional Facility","250","229","11.33%",""
"Kemper County Correctional Facility","250","238","11.77%",""
"Leake Correctional Facility","250","218","10.78%",""
"Marion County Correctional Facility","250","230","11.37%",""
"Stone County Correctional Facility","250","220","10.88%",""
"Winston County Correctional Facility","250","213","10.53%",""
"","2,500","2,022","100.00%","Regional Facilities"
"Private Prisons","","","",""
"Delta Correctional Facility","1,000","854","23.51%",""
"East MS Correctional Facility","500","497","13.68%",""
"Marshall County Correctional Facility","1,000","889","24.48%",""
"Walnut Grove Correctional Facility","500","501","13.79%",""
"Wilkinson County Correctional Facility","900","891","24.53%",""
"","3,900","3,632","100.00%","Private Prisons"
"Community Trusties","30","22","0.10%",""
"Emergency Suspension","","2","0.01%",""
"Court Order","","210","0.97%",""
"TOTAL CAPACITY & CUSTODY POPULATION","20,709","18,893","87.70%",""
"Intensive Supervision Program","","1,319","6.12%",""
"Earned Release Supervision Program","","1,042","4.84%",""
"Medical Release","0 0 0 0 0","1","0.00%",""
"","","2,362","10.96%","Community Corrections"
"Other Custody","","202","0.94%",""
"University of MS Medical Center","0","6","0.03%",""
"At Large (Escapees & Walk-Aways)","0","80","0.37%",""
"TOTAL","20,709","21,543","100.00%","00"
