"ACTIVE OFFENDER POPULATION","",""
"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population","21,711","35.86%"
"Community Corrections (ERS, ISP, Medical Release)","3,207","5.30%"
"Other Custody","437",".72%"
"At Large (Escapees & Walk-Aways)","37",".06%"
"Off-Grounds Medical (Hospital)","7",".01%"
"INMATE TOTAL","25,399","41.95%"
"PAROLEES","7,019","11.59%"
"PROBATIONERS","28,128","46.46%"
"PAROLEE AND PROBATIONER TOTAL","35,147","58.05%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","60,546","100.00%"
