"INMATE STATISTICS (continued)","","","","","","","","","","","","","","","","",""
"","","% OF","","","","","","","% OF","","","","","","","","% OF"
"","","TOTAL MALE","","","","","","","TOTAL FEMALE","","","","NO. OF","","","","TOTAL"
"RACE
MALE","","POPULATION","","","","FEMALE","","","POPULATION","","","","OFFENDERS","","","","OFFENDERS"
"Black
12,391","","64.76%","","","","647","","","38.35%","","","","13,038","","","","62.62%"
"White
6,470","","33.81%","","","","1,017","","","60.28%","","","","7,487","","","","35.96%"
"Hispanic
196","","1.02%","","","","15","","",".89%","","","","211","","","","1.01%"
"Native American
28","",".15%","","","","3","","",".18%","","","","31","","","",".15%"
"Asian
43","",".22%","","","","3","","",".18%","","","","46","","","",".22%"
"Data Unavailable
7","",".04%","","","","2","","",".12%","","","","9","","","",".04%"
"TOTAL
19,135","","100.00%","","","","1,687","","","100.00%","","","","20,822","","","","100.00%"
"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","",""
"","","Black","","White","","","","Hispanic","","Native American","","","Asian","","","Data Unavailable","TOTAL"
"LOCATION","Male","","Female","Male","Female","","Male","Female","","Male","Female","Male","","Female","Male","Female",""
"MSP","2,184","","0","1,134","0","","26","0","","2","0","7","","0","1","0","3,354"
"CMCF","1,498","","356","898","542","","19","6","","7","2","7","","1","1","1","3,338"
"SMCI","2,043","","0","991","0","","27","0","","2","0","4","","0","0","0","3,067"
"County Jails (approved)","408","","5","342","26","","5","0","","0","0","2","","0","1","0","789"
"County Jails (unapproved)","170","","7","127","12","","3","0","","0","0","0","","0","3","0","322"
"Youthful Offender Facility","21","","0","3","0","","1","0","","0","0","0","","0","0","0","25"
"Private Prisons","2,202","","0","809","0","","21","0","","7","0","1","","0","0","0","3,040"
"Regional Correctional Facilities","2,354","","94","1,179","106","","49","2","","6","0","11","","0","0","0","3,801"
"Community Work Centers","376","","38","249","120","","4","4","","2","0","3","","1","0","0","797"
"Community Trusties","23","","0","9","0","","0","0","","0","0","1","","0","0","0","33"
"TVC","0","","3","0","12","","0","0","","0","0","0","","0","0","0","15"
"Transitional Housing","1","","0","0","0","","0","0","","0","0","0","","0","0","0","1"
"Pending File Review","45","","3","30","3","","1","0","","0","0","1","","0","0","0","83"
"Court Order","154","","8","88","11","","0","0","","0","0","0","","0","0","0","261"
"","11,479","","514","5,859","832","","156","12","","26","2","37","","2","6","1","18,926"
"Intensive Supervison Program","279","","79","233","118","","3","1","","2","1","2","","1","1","1","721"
"Earned Release Supervision","357","","40","120","35","","3","0","","0","0","0","","0","0","0","555"
"Medical Release","6","","0","3","2","","0","0","","0","0","0","","0","0","0","11"
"Other Custody","220","","13","214","22","","31","2","","0","0","4","","0","1","0","507"
"At Large","16","","0","6","2","","3","0","","0","0","0","","0","0","0","27"
"Conditional Release","0","","0","1","1","","0","0","","0","0","0","","0","0","0","2"
"Failure to Report-Monitoring","1","","0","3","0","","0","0","","0","0","0","","0","0","0","4"
"RRP","29","","2","26","4","","0","0","","0","0","0","","0","0","0","61"
"Off-Grounds Medical (Hospital)","4","","0","5","1","","0","0","","0","0","0","","0","0","0","10"
"TOTAL","12,391","","648","6,470","1,017","","196","15","","28","3","43","","3","8","2","20,824"
"% OF TOTAL OFFENDERS","59.50%","","3.11%","31.07%","4.88%","",".94%",".07%","",".13%",".01%",".21%","",".01%",".04%",".01%","100.00%"
