"ACTIVE OFFENDER POPULATION","",""
"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population","21,961","41.05%"
"Community Corrections (ERS, ISP, Medical Release)","3,127","5.84%"
"Other Custody","299","0.56%"
"At Large (Escapees & Walk-Aways)","93","0.17%"
"Off-Grounds Medical (Hospital)","12","0.02%"
"INMATE TOTAL","25,492","47.65%"
"PAROLEES","2,411","4.51%"
"PROBATIONERS","25,596","47.84%"
"PAROLEE AND PROBATIONER TOTAL","28,007","52.35%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","53,499","100.00%"
