"ACTIVE OFFENDER POPULATION","",""
"BY TYPE","",""
"","NO. OF","% OF TOTAL"
"","OFFENDERS","OFFENDERS"
"INMATES","",""
"Custody Population","22,205","43.79%"
"Community Corrections (ERS, ISP, Medical Release)","2,845","5.61%"
"Other Custody","315","0.62%"
"At Large (Escapees & Walk-Aways)","77","0.15%"
"Off-Grounds Medical (Hospital)","10","0.02%"
"INMATE TOTAL","25,452","50.19%"
"PAROLEES","2,452","4.84%"
"PROBATIONERS","22,807","44.97%"
"PAROLEE AND PROBATIONER TOTAL","25,259","49.81%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","50,711","100.00%"
