"INMATE STATISTICS","","",""
"BY LOCATION","","",""
"","","NO. OF","% OF TOTAL"
"","CAPACITY","OFFENDERS","OFFENDERS"
"Mississippi State Penitentiary","4,792","4,561","34.54%"
"Central Mississippi Correctional Facility","3,233","3,022","22.89%"
"South Mississippi Correctional Institution","2,214","2,171","16.44%"
"County Jails - Approved*","2,327","1,526","11.56%"
"County Jails - Unapproved**","0","185","1.40%"
"Community Work Centers","1816","1,739","13.17%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14,382","13,204","100.00%"
"Regional Correctional Facilities","","",""
"Bolivar County Correctional Facility","250","250","9.15%"
"Carroll County Correctional Facility","250","249","9.11%"
"George County Correctional Facility","250","249","9.11%"
"Holmes County Correctional Facility","250","249","9.11%"
"Issaquena County Correctional Facility","250","242","8.85%"
"Jefferson County Correctional Facility","250","249","9.11%"
"Kemper County Correctional Facility","250","250","9.15%"
"Leake Correctional Facility","250","250","9.15%"
"Marion County Correctional Facility","250","247","9.04%"
"Stone County Correctional Facility","250","249","9.11%"
"Winston County Correctional Facility","250","249","9.11%"
"TOTAL REGIONAL FACILITIES","2,750","2,733","100.00%"
"Private Prisons","","",""
"Delta Correctional Facility","960","958","20.12%"
"East MS Correctional Facility","1,000","870","18.27%"
"Marshall County Correctional Facility","1,000","993","20.86%"
"Tallahatchie County Correctional Facility","128","127","2.67%"
"Walnut Grove Correctional Facility","1,000","848","17.81%"
"Wilkinson County Correctional Facility","1,000","965","20.27%"
"TOTAL PRIVATE PRISONS","5,088","4,761","100.00%"
"Community Trusties","02
4","18","0.07%"
"Emergency Suspension","","0","0.00%"
"Pending File Review","0","303","1.22%"
"Court Order","0","0","0.00%"
"TOTAL CAPACITY & CUSTODY POPULATION","22,244","21,019","84.79%"
"Intensive Supervision Program","0","1,501","6.05%"
"Earned Release Supervision Program","","1,880","7.58%"
"Medical Release","00","5","0.02%"
"TOTAL COMMUNITY CORRECTIONS","0","3,386","13.66%"
"Other Custody","0","267","1.08%"
"Off-Grounds Medical (Hospital)","0","11","0.04%"
"At Large (Escapees & Walk-Aways)","0","107","0.43%"
"TOTAL","22,244","24,790","100.00%"
