"INMATE STATISTICS","","",""
"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","4,529","4,429","34.46%"
"Central Mississippi Correctional Facility","3,293","3,292","25.61%"
"South Mississippi Correctional Institution","2,066","1,989","15.47%"
"County Jails - Approved*","1,953","1,204","9.37%"
"County Jails - Unapproved**","0","163","1.27%"
"Community Work Centers","1,816","1,776","13.82%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,657","12,853","100.00%"
"Bolivar County Correctional Facility","294","292","9.66%"
"Carroll County Correctional Facility","280","279","9.23%"
"George County Correctional Facility","280","277","9.16%"
"Holmes County Correctional Facility","280","276","9.13%"
"Issaquena County Correctional Facility","274","268","8.86%"
"Jefferson County Correctional Facility","250","243","8.04%"
"Kemper County Correctional Facility","280","274","9.06%"
"Leake County Correctional Facility","280","280","9.26%"
"Marion County Correctional Facility","280","279","9.23%"
"Stone County Correctional Facility","280","279","9.23%"
"Winston County Correctional Facility","280","277","9.16%"
"TOTAL REGIONAL FACILITIES","3,058","3,024","100.00%"
"Delta Correctional Facility","972","965","19.84%"
"East MS Correctional Facility","1,000","868","17.85%"
"Marshall County Correctional Facility","1,000","992","20.40%"
"Tallahatchie County Correctional Facility","128","128","2.63%"
"Walnut Grove Correctional Facility","1,000","947","19.47%"
"Wilkinson County Correctional Facility","1,000","963","19.80%"
"TOTAL PRIVATE PRISONS","5,100","4,863","100.00%"
"Community Trusties","2","16","0.06%"
"Emergency Suspension","02","0","0.00%"
"Pending File Review","0","31","0.13%"
"Court Order","0","307","1.24%"
"TOTAL CAPACITY & CUSTODY POPULATION","21,837","21,094","85.08%"
"Intensive Supervision Program","0","1,542","6.22%"
"Earned Release Supervision Program","","1,705","6.88%"
"Medical Release","00","9","0.04%"
"TOTAL COMMUNITY CORRECTIONS","00","3,256","13.13%"
"Other Custody","","311","1.25%"
"Off-Grounds Medical (Hospital)","0","7","0.03%"
"At Large (Escapees & Walk-Aways)","0","124","0.50%"
"TOTAL","21,837","24,792","100.00%"
