"**NOTE:  The number of offenders in unapproved jails includes inmates on waiver and inmates still under the 30 day deadline, awaiting transfer.","","","","","","","","","","","","","","","","",""
"INMATE STATISTICS (continued)","","","","","","","","","","","","","","","","",""
"","","% OF","","","","","","","% OF","","","","","","","","% OF"
"","","TOTAL MALE","","","","","","","TOTAL FEMALE","","","","NO. OF","","","","TOTAL"
"RACE
MALE","","POPULATION","","","","FEMALE","","","POPULATION","","","","OFFENDERS","","","","OFFENDERS"
"Black
12,948","","65.71%","","","","692","","","40.09%","","","","13,640","","","","63.65%"
"White
6,475","","32.86%","","","","1,005","","","58.23%","","","","7,480","","","","34.90%"
"Hispanic
193","",".98%","","","","22","","","1.27%","","","","215","","","","1.00%"
"Native American
32","",".16%","","","","5","","",".29%","","","","37","","","",".17%"
"Asian
50","",".25%","","","","1","","",".06%","","","","51","","","",".24%"
"Data Unavailable
6","",".03%","","","","1","","",".06%","","","","7","","","",".03%"
"TOTAL
19,704","","100.00%","","","","1,726","","","100.00%","","","","21,430","","","","100.00%"
"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","",""
"","","Black","","White","","","","Hispanic","","Native American","","","Asian","","","Data Unavailable","TOTAL"
"LOCATION","Male","","Female","Male","Female","","Male","Female","","Male","Female","Male","","Female","Male","Female",""
"MSP","2,260","","0","1,084","0","","18","0","","3","0","7","","0","1","0","3,373"
"CMCF","1,459","","352","802","512","","25","11","","5","3","5","","1","0","1","3,176"
"SMCI","1,947","","0","1,006","0","","23","0","","3","0","5","","0","0","0","2,984"
"County Jails (approved)","480","","10","354","25","","7","0","","3","0","1","","0","1","0","881"
"County Jails (unapproved)","192","","14","137","18","","3","0","","1","0","1","","0","0","0","366"
"Youthful Offender Facility","28","","0","1","0","","1","0","","0","0","0","","0","0","0","30"
"Private Prisons","2,720","","0","1,003","0","","32","0","","10","0","5","","0","0","0","3,770"
"Regional Correctional Facilities","2,189","","101","1,082","117","","29","4","","1","0","12","","0","0","0","3,535"
"Community Work Centers","472","","41","243","118","","2","2","","3","0","3","","0","1","0","885"
"Community Trusties","32","","0","15","0","","0","0","","0","0","0","","0","0","0","47"
"Pending File Review","55","","7","31","12","","0","0","","0","0","2","","0","0","0","107"
"Court Order","134","","7","112","16","","0","0","","0","0","1","","0","0","0","270"
"","11,968","","532","5,870","818","","140","17","","29","3","42","","1","3","1","19,424"
"Intensive Supervison Program","263","","93","226","107","","3","2","","1","1","4","","0","0","0","700"
"Earned Release Supervision","457","","52","152","39","","5","0","","1","0","1","","0","0","0","707"
"Medical Release","8","","0","4","2","","0","0","","0","0","0","","0","0","0","14"
"Other Custody","229","","13","212","28","","42","3","","1","1","3","","0","3","0","535"
"Transitional Housing","2","","0","1","0","","0","0","","0","0","0","","0","0","0","3"
"At Large","15","","0","6","2","","3","0","","0","0","0","","0","0","0","26"
"Conditional Release","0","","0","1","1","","0","0","","0","0","0","","0","0","0","2"
"RRP","1","","0","1","0","","0","0","","0","0","0","","0","0","0","2"
"TVC","0","","2","0","7","","0","0","","0","0","0","","0","0","0","9"
"Off-Grounds Medical (Hospital)","5","","0","2","1","","0","0","","0","0","0","","0","0","0","8"
"TOTAL","12,948","","692","6,475","1,005","","193","22","","32","5","50","","1","6","1","21,430"
"% OF TOTAL OFFENDERS","60.42%","","3.23%","30.21%","4.69%","",".90%",".10%","",".15%",".02%",".23%","",".00%",".03%",".00%","100.00%"
