"INMATE STATISTICS","","",""
"BY LOCATION","","",""
"","","NO. OF","% OF TOTAL"
"","CAPACITY","OFFENDERS","OFFENDERS"
"Mississippi State Penitentiary","4,527","4,354","30.90%"
"Central Mississippi Correctional Facility","3,425","3,488","24.76%"
"South Mississippi Correctional Institution","3,084","2,945","20.90%"
"County Jails - Approved*","1,597","1,301","9.23%"
"County Jails - Unapproved**","0","217","1.54%"
"Community Work Centers","1,816","1,785","12.67%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14,449","14,090","100.00%"
"Regional Correctional Facilities","","",""
"Bolivar County Correctional Facility","294","282","9.30%"
"Carroll County Correctional Facility","280","281","9.26%"
"George County Correctional Facility","280","276","9.10%"
"Holmes County Correctional Facility","280","266","8.77%"
"Issaquena County Correctional Facility","274","271","8.94%"
"Jefferson County Correctional Facility","280","273","9.00%"
"Kemper County Correctional Facility","280","278","9.17%"
"Leake County Correctional Facility","280","278","9.17%"
"Marion County Correctional Facility","280","278","9.17%"
"Stone County Correctional Facility","280","274","9.03%"
"Winston County Correctional Facility","280","276","9.10%"
"TOTAL REGIONAL FACILITIES","3,088","3,033","100.00%"
"Private Prisons","","",""
"Delta Correctional Facility","972","967","20.25%"
"East MS Correctional Facility","1,000","888","18.59%"
"Marshall County Correctional Facility","1,000","990","20.73%"
"Tallahatchie County Correctional Facility","0","0","0.00%"
"Walnut Grove Correctional Facility","1,000","940","19.68%"
"Wilkinson County Correctional Facility","1,000","991","20.75%"
"TOTAL PRIVATE PRISONS","4,972","4,776","100.00%"
"Community Trusties","2","18","0.07%"
"Emergency Suspension","02","0","0.00%"
"Pending File Review","0","87","0.34%"
"Court Order","0","296","1.16%"
"TOTAL CAPACITY & CUSTODY POPULATION","22,531","22,300","87.07%"
"Intensive Supervision Program","0","1,188","4.64%"
"Earned Release Supervision Program","","1,705","6.66%"
"Medical Release","00","14","0.05%"
"TOTAL COMMUNITY CORRECTIONS","00","2,907","11.35%"
"Other Custody","","319","1.25%"
"Off-Grounds Medical (Hospital)","0","10","0.04%"
"At Large (Escapees & Walk-Aways)","0","75","0.29%"
"TOTAL","22,531","25,611","100.00%"
