"INMATE STATISTICS","","",""
"BY LOCATION","","",""
"","","NO. OF","% OF TOTAL"
"","CAPACITY","OFFENDERS","OFFENDERS"
"Mississippi State Penitentiary","3,590","3,381","16.40%"
"Central Mississippi Correctional Facility","3,750","3,275","15.88%"
"South Mississippi Correctional Institution","3,082","3,033","14.71%"
"Youthful Offender Facility","58","28","0.14%"
"County Jails - Approved","1,781","682","3.31%"
"County Jails - Unapproved","0","330","1.60%"
"Community Work Centers","1,154","711","3.45%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,415","11,440","55.49%"
"Regional Correctional Facilities","","",""
"Alcorn County Correctional Facility","300","240","1.16%"
"Bolivar County Correctional Facility","369","294","1.43%"
"Carroll County Correctional Facility","280","256","1.24%"
"Chickasaw County Correctional Facility","310","272","1.32%"
"George County Correctional Facility","280","270","1.31%"
"Holmes County Correctional Facility","280","224","1.09%"
"Issaquena County Correctional Facility","274","274","1.33%"
"Jefferson County Correctional Facility","280","275","1.33%"
"Kemper County Correctional Facility","355","350","1.70%"
"Leake County Correctional Facility","280","198","0.96%"
"Marion County Correctional Facility","280","222","1.08%"
"Stone County Correctional Facility","326","260","1.26%"
"Washington County Correctional Facility","300","235","1.14%"
"Winston County Correctional Facility","280","223","1.08%"
"Yazoo County Correctional Facility","300","234","1.13%"
"TOTAL REGIONAL FACILITIES","4,494","3,827","18.56%"
"Private Prisons","","",""
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,168","5.67%"
"Marshall County Correctional Facility","1,000","1,000","4.85%"
"Walnut Grove Correctional Facility","1,500","0","0.00%"
"Wilkinson County Correctional Facility","1,000","891","4.32%"
"TOTAL PRIVATE PRISONS","5,972","3,059","14.84%"
"Community Trusties","0","45",".22%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","56",".27%"
"TVC","0","5",".02%"
"Transitional Housing","0","0","0.0%"
"Court Order","0","244","1.18%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,881","18,676","90.59%"
"Intensive Supervision Program","0","743","3.60%"
"Conditional Release","0","3","0.01%"
"Earned Release Supervision Program","0","666","3.23%"
"Failure to Register-Monitoring","0","6","0.03%"
"Medical Release","0","12","0.06%"
"TOTAL COMMUNITY CORRECTIONS","0","1,430","6.94%"
"Other Custody","","470","2.28%"
"Off-Grounds Medical (Hospital)","","11","0.05%"
"At Large (Escapees & Walk-Aways)","0","30","0.15%"
"TOTAL","23,881","20,617","0 0
100.00%"
