"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","% OF","% OF","","",""
"","","TOTAL MALE","TOTAL FEMALE","","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION
FEMALE","POPULATION","","OFFENDERS","OFFENDERS"
"Black","7,156","60.39%","1,829","54.74%","8,985","58.30%"
"White","4,583","38.68%","1,481","44.33%","6,064","39.35%"
"Hispanic","46","0.39%","13","0.39%","59","0.38%"
"Native American","28","0.24%","6","0.18%","34","0.22%"
"Asian","37","0.31%","12","0.36%","49","0.32%"
"Unknown","0","0.00%","0","0.00%","221","1.43%"
"TOTAL","11,850","100.00%","3,341","100.00%","15,412","100.00%"
"BY OFFENSE","","","","","",""
"","NO. OF","% of TOTAL","","","",""
"OFFENSE","OFFENDERS","OFFENDERS","","","",""
"Violent","1,905","12.36%","","","",""
"Property","8,871","57.56%","","","",""
"Drug","4,636","30.08%","","","",""
"TOTAL","15,412","100.00%","","","",""
"PAROLE STATISTICS","","","","","",""
"BY RACE AND SEX","","% OF","% OF","","",""
"","","TOTAL MALE","TOTAL FEMALE","","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION
FEMALE","POPULATION","","OFFENDERS","OFFENDERS"
"Black","1,120","74.32%","99","62.26%","1,219","73.17%"
"White","379","25.15%","60","37.74%","439","26.35%"
"Hispanic","7","0.46%","","0.00%","7","0.42%"
"Native American","1","0.07%","0 0 0","0.00%","1","0.06%"
"Asian","0","0.00%","","0.00%","0","0.00%"
"TOTAL","1,507","100.00%","159","100.00%","1,666","100.00%"
"BY OFFENSE","","","","","",""
"","NO. OF","% of TOTAL","","","",""
"OFFENSE","OFFENDERS","OFFENDERS","","","",""
"Violent","725","43.52%","","","",""
"Property","417","25.03%","","","",""
"Drug","524","31.45%","","","",""
"TOTAL","1,666","100.00%","","","",""
