"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","","","",""
"","","Black","","","White","","","Hispanic","","","Native American","","","Asian","","","Data Unavailable","","TOTAL"
"LOCATION","Male","","Female","Male","","Female","Male","","Female","Male","","Female","Male","","Female","Male","Female","",""
"MSP","2,135","","0","986","","0","21","","0","3","","0","5","","0","2","0","","3,152"
"CMCF","947","","370","531","","445","11","","5","3","","2","4","","0","0","0","","2,318"
"SMCI","1,792","","0","878","","0","34","","0","2","","0","4","","0","1","0","","2,711"
"County Jails (approved)","327","","20","201","","33","3","","0","0","","0","0","","1","0","0","","585"
"County Jails (unapproved)","199","","15","139","","37","4","","1","0","","0","1","","0","2","0","","398"
"Youthful Offender Facility","24","","0","3","","0","1","","0","0","","0","0","","0","0","0","","28"
"Private Prisons","2,770","","0","989","","0","24","","0","9","","0","8","","0","0","0","","3,800"
"Regional Correctional Facilities","2,572","","92","1,142","","105","35","","0","5","","0","11","","0","1","0","","3,963"
"Community Work Centers","640","","53","336","","118","0","","2","3","","0","2","","0","2","0","","1,156"
"Community Trusties","11","","0","1","","0","0","","0","0","","0","0","","0","0","0","","12"
"Pending File Review","40","","2","21","","3","0","","0","0","","0","1","","0","0","0","","67"
"Court Order","110","","2","87","","19","1","","1","0","","0","0","","1","0","0","","221"
"","11,567","","554","5,314","","760","134","","9","25","","2","36","","2","8","0","","18,411"
"Intensive Supervison Program","352","","103","257","","141","0","","1","0","","1","4","","1","1","0","","861"
"Earned Release Supervision","550","","51","179","","36","3","","1","0","","0","2","","0","0","0","","822"
"Medical Release","8","","0","4","","2","0","","0","0","","0","0","","0","0","0","","14"
"Other Custody","249","","15","194","","23","50","","5","3","","0","3","","0","3","0","","545"
"At Large","16","","0","6","","2","3","","0","0","","0","0","","0","0","0","","27"
"Off-Grounds Medical (Hospital)","5","","0","2","","2","0","","0","0","","0","0","","0","0","0","","9"
"TOTAL","12,747","","723","5,956","","966","190","","16","28","","3","45","","3","12","0","","20,689"
"% OF TOTAL OFFENDERS","61.61%","","3.49%","28.79%","","4.67%",".92%","",".08%",".14%","",".01%",".22%","",".01%",".06%",".00%","","100.00%"
"BY OFFENSE AND LOCATION","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","AGGRAVATED","","","","","","","","","","",""
"","","","DRUG","","PROPERTY","","","ASSUALT","","","VIOLENT","","","SEX","","","","",""
"LOCATION","","","OFFENSES","","OFFENSES","","","OFFENSES","","","OFFENSES","","","OFFENSES","","","","TOTAL",""
"MSP","","","593","","558","","","180","","","1,322","","","499","","","","3,152",""
"CMCF","","","558","","611","","","130","","","777","","","242","","","","2,318",""
"SMCI","","","469","","543","","","166","","","1,037","","","496","","","","2,711",""
"County Jails (approved)","","","337","","184","","","14","","","45","","","","","","","585",""
"Youthful Offender Facility","","","0","","0","","","6","","","16","","","","","","","28",""
"County Jails (unapproved)","","","130","","168","","","19","","","62","","","19","","","","398",""
"Private Prisons","","","481","","527","","","266","","","1,879","","","647","","","","3,800",""
"Regional Correctional Facilities","","","671","","657","","","316","","","1,454","","","865","","","","3,963",""
"Community Work Centers","","","758","","376","","","2","","","20","","","0","","","","1,156",""
"Community Trusties","","","11","","","","","0","","","0","","","0","","","","12",""
"Pending File Review","","","22","","5","","","1","","","9","","","0","","","","67",""
"Court Order","","","69","","92","","","7","","","45","","","8","","","","221",""
"TOTAL CUSTODY POPULATION","","","4,099","","3,752","","","1,107","","","6,666","","","2,787","","","","18,411",""
"% OF TOTAL OFFENSES","","","22.26%","","20.38%","","","6.01%","","","36.21%","","","15.14%","","","","100.00%",""
"Intensive Supervison Program","","","367","","426","","","9","","","54","","","5","","","","861",""
"Earned Release Supervision","","","242","","66","","","141","","","368","","","5","","","","822",""
"Medical Release","","","7","","5","","","0","","","2","","","","","","","14",""
"Other Custody","","","185","","228","","","17","","","89","","","6","","","","545",""
"At Large","","","","","4","","","0","","","7","","","0","","","","27",""
"Off-Grounds Medical (Hospital)","","","","","","","","0","","","5","","","1","","","","9",""
"TOTAL","","","4,906","","4,494","","","1,274","","","7,191","","","2,824","","","","20,689",""
"% OF TOTAL OFFENSES","","","23.71%","","21.72%","","","6.16%","","","34.76%","","","13.65%","","","","100.00%","6 0
1 3
31
0 2
5 6"
