"ACTIVE OFFENDER POPULATION","",""
"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population","22,300","43.77%"
"Community Corrections (ERS, ISP, Medical Release)","2,907","5.71%"
"Other Custody","319","0.63%"
"At Large (Escapees & Walk-Aways)","75","0.15%"
"Off-Grounds Medical (Hospital)","10","0.02%"
"INMATE TOTAL","25,611","50.27%"
"PAROLEES","2,457","4.82%"
"PROBATIONERS","22,881","44.91%"
"PAROLEE AND PROBATIONER TOTAL","25,338","49.73%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","50,949","100.00%"
