"BY TYPE","","",""
"","NO. OF","% OF TOTAL",""
"","OFFENDERS","OFFENDERS",""
"INMATES","","",""
"Custody Population","19,846","48.55%",""
"Community Corrections (ERS, ISP, Medical Release)","2,526","6.18%",""
"Other Custody","223","0.55%",""
"At Large (Escapees & Walk-Aways)","87","0.21%",""
"University of MS Medical Center","7","0.02%",""
"","22,689","55.50%","Inmate Total"
"PAROLEES","1,828","4.47%",""
"PROBATIONERS","16,364","40.03%",""
"","18,192","44.50%","Parolees & Probationers Total"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","40,881","100.00%",""
