"INMATE STATISTICS (continued)","","","","","","","","","","","","","","","","",""
"","","% OF","","","","","","","% OF","","","","","","","","% OF"
"","","TOTAL MALE","","","","","","","TOTAL FEMALE","","","","NO. OF","","","","TOTAL"
"RACE
MALE","","POPULATION","","","","FEMALE","","","POPULATION","","","","OFFENDERS","","","","OFFENDERS"
"Black
14,259","","67.27%","","","","822","","","42.79%","","","","15,081","","","","65.23%"
"White
6,716","","31.68%","","","","1,081","","","56.27%","","","","7,797","","","","33.73%"
"Hispanic
160","",".75%","","","","13","","",".68%","","","","173","","","",".75%"
"Native American
21","",".10%","","","","","","",".21%","","","","25","","","",".11%"
"Asian
37","",".17%","","","","","","",".05%","","","","38","","","",".16%"
"Data Unavailable
5","",".02%","","","","0","","",".00%","","","","5","","","",".02%"
"TOTAL
21,198","","100.00%","","","","1,921","","","100.00%","","","","23,119","","","","100.00%"
"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","",""
"","","Black","","","White","","","Hispanic","","Native American","","","Asian","","","Data Unavailable","TOTAL"
"LOCATION","Male","","Female","Male","Female","","Male","Female","","Male","Female","Male","","Female","Male","Female",""
"MSP","2,175","","0","1,021","0","","25","0","","6","0","6","","0","0","0","3,233"
"CMCF","906","","385","501","413","","12","4","","5","2","2","","1","1","0","2,232"
"SMCI","1,999","","0","1,013","0","","40","0","","4","0","7","","0","0","0","3,063"
"County Jails (approved)","766","","27","426","46","","10","0","","1","0","0","","1","0","0","1,277"
"County Jails (unapproved)","63","","6","33","16","","0","0","","0","0","0","","0","0","0","118"
"Youthful Offender Facility","26","","0","7","0","","0","0","","0","0","0","","0","0","0","33"
"Private Prisons","2,969","","0","1,032","0","","31","0","","7","0","5","","0","2","0","4,046"
"Regional Correctional Facilities","2,755","","132","1,234","138","","35","2","","3","0","6","","0","0","0","4,305"
"Community Work Centers","575","","52","338","122","","0","1","","1","0","2","","0","1","0","1,092"
"Community Trusties","3","","0","3","0","","0","0","","0","0","0","","0","0","0","6"
"Pending File Review","68","","8","71","11","","0","0","","0","0","1","","0","0","0","159"
"Court Order","127","","1","71","13","","0","1","","0","0","2","","0","0","0","215"
"","12,432","","611","5,750","759","","153","8","","27","2","31","","2","4","0","19,779"
"Intensive Supervison Program","607","","169","460","247","","4","5","","0","2","0","","0","2","2","1,498"
"Earned Release Supervision","864","","72","280","62","","4","0","","2","0","2","","0","0","0","1,286"
"Medical Release","11","","0","7","2","","0","0","","0","0","0","","0","0","0","20"
"TVC","3","","0","3","2","","0","0","","0","0","0","","0","0","0","8"
"Other Custody","224","","12","174","20","","49","5","","1","1","3","","0","2","0","491"
"At Large","16","","0","8","2","","3","0","","0","0","0","","0","0","0","29"
"Off-Grounds Medical (Hospital)","4","","0","4","0","","0","0","","0","0","0","","0","0","0","8"
"TOTAL","14,161","","864","6,686","1,094","","213","18","","30","5","36","","2","8","2","23,119"
"% OF TOTAL OFFENDERS","61.25%","","3.74%","28.92%","4.73%","",".92%",".08%","",".13%",".02%",".16%","",".01%",".03%",".01%","4 1
100.00%"
