"As of February 1, 2019","",""
"ACTIVE OFFENDER POPULATION","",""
"BY TYPE","",""
"","NO. OF","% OF TOTAL"
"","OFFENDERS","OFFENDERS"
"INMATES","",""
"Custody Population (Inmate and RRP status)","19,033","35.48%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Failure to Report)","1,359","2.53%"
"Other Custody","466",".87%"
"At Large (Escapees & Walk-Aways)","25",".05%"
"Off-Grounds Medical (Hospital)","10",".02%"
"INMATE TOTAL","20,893","38.95%"
"PAROLEES","8,857","16.51%"
"TVC Parole","307","0.57%"
"PROBATIONERS","23,469","43.75%"
"TVC Probation","115","0.21%"
"PAROLEE AND PROBATIONER TOTAL","32,748","61.05%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","53,641","100.00%"
