"ACTIVE OFFENDER POPULATION","",""
"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population","20,975","40.47%"
"Community Corrections (ERS, ISP, Medical Release)","3,241","6.25%"
"Other Custody","318","0.61%"
"At Large (Escapees & Walk-Aways)","131","0.25%"
"Off-Grounds Medical (Hospital)","7","0.01%"
"INMATE TOTAL","24,672","47.60%"
"PAROLEES","2,459","4.74%"
"PROBATIONERS","24,697","47.65%"
"PAROLEE AND PROBATIONER TOTAL","27,156","52.40%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","51,828","100.00%"
