"As of February 1, 2018","",""
"ACTIVE OFFENDER POPULATION","",""
"BY TYPE","",""
"","NO. OF","% OF TOTAL"
"","OFFENDERS","OFFENDERS"
"INMATES","",""
"Custody Population (Inmate and RRP status)","18,946","35.39%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Failure to Report)","1,299","2.43%"
"Other Custody","450",".84%"
"At Large (Escapees & Walk-Aways)","29",".05%"
"Off-Grounds Medical (Hospital)","14",".03%"
"INMATE TOTAL","20,738","38.74%"
"PAROLEES","8,779","16.40%"
"TVC Parole","116","0.22%"
"PROBATIONERS","23,831","44.52%"
"TVC Probation","70","0.13%"
"PAROLEE AND PROBATIONER TOTAL","32,796","61.26%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","53,534","100.00%"
