"","Mississippi Department of Corrections","",""
"","","Fact Sheet",""
"","","As of May 1, 2018",""
"INMATE STATISTICS (continued)","","",""
"Community Trusties","0","6",".03%"
"Emergency Suspension","00","0",".00%"
"Pending File Review","","125",".59%"
"TVC","0","1",".00%"
"Transitional Housing","0","23","0.1%"
"Court Order","0","205",".97%"
"RRP","0","120",".57%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,881","19,215","91.29%"
"Intensive Supervision Program","0","727","3.45%"
"Conditional Release","0","3","0.01%"
"Earned Release Supervision Program","0","599","2.85%"
"Failure to Register-Monitoring","0","5","0.02%"
"Medical Release","0","14","0.07%"
"TOTAL COMMUNITY CORRECTIONS","0","1,348","6.40%"
"Other Custody","00","444","2.11%"
"Off-Grounds Medical (Hospital)","","14","0.07%"
"At Large (Escapees & Walk-Aways)","0","28","0.13%"
"TOTAL","23,881","21,049","100.00%"
