"BY TYPE","","",""
"","NO. OF","% OF TOTAL",""
"","OFFENDERS","OFFENDERS",""
"INMATES","","",""
"Custody Population","20,878","47.48%",""
"Community Corrections (ERS, ISP, Medical Release)","2,533","5.76%",""
"Other Custody","216","0.49%",""
"At Large (Escapees & Walk-Aways)","47","0.11%",""
"University of MS Medical Center","0","0.00%",""
"","23,674","53.84%","Inmate Total"
"PAROLEES","1,910","4.34%",""
"PROBATIONERS","18,384","41.81%",""
"","20,294","46.16%","Parolees & Probationers Total"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","43,968","100.00%",""
