"INMATE STATISTICS","","",""
"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","4,648","3,357","13.03%"
"Central Mississippi Correctional Facility","3,557","3,220","12.50%"
"South Mississippi Correctional Institution","3,282","3,187","12.37%"
"Youthful Offender Facility","42","37","0.14%"
"County Jails - Approved*","2,017","1,521","5.90%"
"County Jails - Unapproved**","0","135","0.52%"
"Community Work Centers","1,848","1,344","5.22%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15,394","12,801","49.69%"
"Alcorn County Correctional Facility","300","293","1.14%"
"Bolivar County Correctional Facility","369","369","1.43%"
"Carroll County Correctional Facility","280","279","1.08%"
"Chickasaw County Correctional Facility","300","300","1.16%"
"George County Correctional Facility","280","279","1.08%"
"Holmes County Correctional Facility","280","279","1.08%"
"Issaquena County Correctional Facility","274","273","1.06%"
"Jefferson County Correctional Facility","280","277","1.08%"
"Kemper County Correctional Facility","355","354","1.37%"
"Leake County Correctional Facility","280","280","1.09%"
"Marion County Correctional Facility","280","279","1.08%"
"Stone County Correctional Facility","280","280","1.09%"
"Washington County Correctional Facility","300","296","1.15%"
"Winston County Correctional Facility","280","278","1.08%"
"Yazoo County Correctional Facility","300","298","1.16%"
"TOTAL REGIONAL FACILITIES","4,438","4,414","17.14%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,197","4.65%"
"Marshall County Correctional Facility","1,000","996","3.87%"
"Walnut Grove Correctional Facility","1,500","1,294","5.02%"
"Wilkinson County Correctional Facility","1,000","900","3.49%"
"TOTAL PRIVATE PRISONS","5,972","4,387","17.03%"
"Community Trusties","22","13",".05%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","82",".32%"
"Court Order","0","311","1.21%"
"TOTAL CAPACITY & CUSTODY POPULATION","25,826","22,008","1.58%"
"Intensive Supervision Program","0","1,549","6.01%"
"Earned Release Supervision Program","","1,651","6.41%"
"Medical Release","","22","0.09%"
"TOTAL COMMUNITY CORRECTIONS","","3,222","12.51%"
"Other Custody","","486","1.89%"
"Off-Grounds Medical (Hospital)","0000","13","0.05%"
"At Large (Escapees & Walk-Aways)","","31","0.12%"
"TOTAL","25,826","25,760","00
100.00%"
