"INMATE STATISTICS","","",""
"BY LOCATION","","",""
"","","NO. OF","% OF TOTAL"
"","CAPACITY","OFFENDERS","OFFENDERS"
"Mississippi State Penitentiary","4,529","4,400","34.74%"
"Central Mississippi Correctional Facility","3,233","3,149","24.86%"
"South Mississippi Correctional Institution","2,066","1,985","15.67%"
"County Jails - Approved*","2,167","1,380","10.90%"
"County Jails - Unapproved**","0","48","0.38%"
"Community Work Centers","1,816","1,703","13.45%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,811","12,665","100.00%"
"Regional Correctional Facilities","","",""
"Bolivar County Correctional Facility","294","293","9.66%"
"Carroll County Correctional Facility","280","280","9.23%"
"George County Correctional Facility","280","280","9.23%"
"Holmes County Correctional Facility","280","279","9.20%"
"Issaquena County Correctional Facility","274","274","9.03%"
"Jefferson County Correctional Facility","250","248","8.17%"
"Kemper County Correctional Facility","280","280","9.23%"
"Leake County Correctional Facility","280","280","9.23%"
"Marion County Correctional Facility","280","279","9.20%"
"Stone County Correctional Facility","280","279","9.20%"
"Winston County Correctional Facility","280","262","8.64%"
"TOTAL REGIONAL FACILITIES","3,058","3,034","100.00%"
"Private Prisons","","",""
"Delta Correctional Facility","972","964","20.22%"
"East MS Correctional Facility","1,000","863","18.10%"
"Marshall County Correctional Facility","1,000","994","20.85%"
"Tallahatchie County Correctional Facility","128","126","2.64%"
"Walnut Grove Correctional Facility","1,000","931","19.53%"
"Wilkinson County Correctional Facility","1,000","889","18.65%"
"TOTAL PRIVATE PRISONS","5,100","4,767","100.00%"
"Community Trusties","2","17","0.07%"
"Emergency Suspension","02","0","0.00%"
"Pending File Review","0","24","0.10%"
"Court Order","0","384","1.55%"
"TOTAL CAPACITY & CUSTODY POPULATION","21,991","20,891","84.55%"
"Intensive Supervision Program","0","1,579","6.39%"
"Earned Release Supervision Program","","1,774","7.18%"
"Medical Release","00","10","0.04%"
"TOTAL COMMUNITY CORRECTIONS","00","3,363","13.61%"
"Other Custody","","302","1.22%"
"Off-Grounds Medical (Hospital)","0","13","0.05%"
"At Large (Escapees & Walk-Aways)","0","139","0.56%"
"TOTAL","21,991","24,708","100.00%"
