"BY LOCATION","","","",""
"","","NO. OF","% OF TOTAL",""
"","CAPACITY","OFFENDERS","OFFENDERS",""
"Mississippi State Penitentiary","5,612","5,265","40.13%",""
"Central Mississippi Correctional Facility","3,049","2,948","22.47%",""
"South Mississippi Correctional Institution","2,214","2,141","16.32%",""
"County Jails - Approved*","2,146","1,435","10.94%",""
"County Jails - Unapproved**","0","62","0.47%",""
"Community Work Centers","1320","1,269","9.67%",""
"","14,341","13,120","100.00%","State, County Jails, & CWC Facilities"
"Regional Correctional Facilities","","","",""
"Bolivar County Correctional Facility","250","207","10.07%",""
"Carroll County Correctional Facility","250","217","10.55%",""
"Holmes County Correctional Facility","250","200","9.73%",""
"Issaquena County Correctional Facility","250","195","9.48%",""
"Jefferson County Correctional Facility","250","214","10.41%",""
"Kemper County Correctional Facility","250","220","10.70%",""
"Leake Correctional Facility","250","200","9.73%",""
"Marion County Correctional Facility","250","206","10.02%",""
"Stone County Correctional Facility","250","199","9.68%",""
"Winston County Correctional Facility","250","198","9.63%",""
"","2,500","2,056","100.00%","Regional Facilities"
"Private Prisons","","","",""
"Delta Correctional Facility","1,000","840","23.95%",""
"East MS Correctional Facility","500","492","14.03%",""
"Marshall County Correctional Facility","1,000","864","24.63%",""
"Walnut Grove Correctional Facility","500","419","11.94%",""
"Wilkinson County Correctional Facility","900","893","25.46%",""
"","3,900","3,508","100.00%","Private Prisons"
"Community Trusties","30","24","0.11%",""
"Emergency Suspension","","4","0.02%",""
"Court Order","","163","0.76%",""
"TOTAL CAPACITY & CUSTODY POPULATION","20,771","18,875","88.20%",""
"Intensive Supervision Program","","1,244","5.81%",""
"Earned Release Supervision Program","","983","4.59%",""
"Medical Release","0 0 0 0 0","1","0.00%",""
"","","2,228","10.41%","Community Corrections"
"Other Custody","","208","0.97%",""
"University of MS Medical Center","0","5","0.02%",""
"At Large (Escapees & Walk-Aways)","0","85","0.40%",""
"TOTAL","20,771","21,401","100.00%","00"
