"TOTAL
19,410","","100.00%","","","","1,718","","","100.00%","","","","21,128","","","","100.00%",""
"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","","",""
"","","Black","","White","","","Hispanic","","","Native American","","","Asian","","","Data Unavailable","","TOTAL"
"LOCATION","Male","","Female","Male","Female","Male","","Female","Male","","Female","Male","","Female","Male","Female","",""
"MSP","2,259","","0","1,094","0","16","","0","3","","0","6","","0","1","0","","3,379"
"CMCF","1,581","","336","912","545","23","","10","6","","1","9","","1","0","0","","3,424"
"SMCI","1,971","","0","978","0","22","","0","1","","0","6","","0","0","0","","2,978"
"County Jails (approved)","432","","12","327","25","6","","0","1","","0","2","","0","1","0","","806"
"County Jails (unapproved)","189","","4","141","11","4","","0","0","","0","3","","0","0","0","","352"
"Youthful Offender Facility","33","","0","2","0","1","","0","0","","0","0","","0","0","0","","36"
"Private Prisons","2,215","","0","816","0","19","","0","9","","0","1","","0","0","0","","3,060"
"Regional Correctional Facilities","2,453","","111","1,205","107","46","","4","4","","1","11","","0","0","1","","3,943"
"Community Work Centers","397","","39","238","118","5","","2","2","","0","3","","0","1","0","","805"
"Community Trusties","26","","0","11","0","0","","0","0","","0","1","","0","0","0","","38"
"TVC","0","","7","0","13","0","","0","0","","0","0","","0","0","0","","20"
"Pending File Review","61","","5","36","10","1","","0","0","","0","1","","0","0","0","","114"
"Court Order","131","","5","77","9","0","","0","0","","0","0","","0","0","0","","222"
"","11,748","","519","5,837","838","143","","16","26","","2","43","","1","3","1","","19,177"
"Intensive Supervison Program","276","","95","235","108","2","","2","1","","0","4","","0","0","1","","724"
"Earned Release Supervision","411","","48","132","41","4","","0","0","","0","1","","0","0","0","","637"
"Medical Release","6","","0","4","2","0","","0","0","","0","0","","0","0","0","","12"
"Other Custody","236","","12","203","23","41","","3","0","","1","4","","0","3","0","","526"
"Transitional Housing","1","","0","1","0","0","","0","0","","0","0","","0","0","0","","2"
"At Large","16","","0","7","2","3","","0","0","","0","0","","0","0","0","","28"
"Conditional Release","0","","0","1","1","0","","0","0","","0","0","","0","0","0","","2"
"RRP","8","","1","7","0","0","","0","0","","0","0","","0","0","0","","16"
"Off-Grounds Medical (Hospital)","0","","0","3","1","0","","0","0","","0","0","","0","0","0","","4"
"TOTAL","12,702","","675","6,430","1,016","193","","21","27","","3","52","","1","6","2","","21,128"
"% OF TOTAL OFFENDERS","60.12%","","3.19%","30.43%","4.81%",".91%","",".10%",".13%","",".01%",".25%","",".00%",".03%",".01%","","100.00%"
"BY OFFENSE AND LOCATION","","","","","","","","","","","","","","","","","",""
"","","","","","","","AGGRAVATED","","","","","","","","","","",""
"","","","DRUG","PROPERTY","","","ASSUALT","","","VIOLENT","","","SEX","","","","",""
"LOCATION","","","OFFENSES","OFFENSES","","","OFFENSES","","","OFFENSES","","","OFFENSES","","","","TOTAL",""
"MSP","","","603","597","","","177","","","1,442","","","560","","","","3,379",""
"CMCF","","","806","967","","","159","","","1,140","","","352","","","","3,424",""
"SMCI","","","504","605","","","189","","","1,137","","","543","","","","2,978",""
"County Jails (approved)","","","417","253","","","19","","","112","","","","","","","806",""
"Youthful Offender Facility","","","0","1","","","4","","","27","","","","","","","36",""
"County Jails (unapproved)","","","116","143","","","9","","","68","","","16","","","","352",""
"Private Prisons","","","274","359","","","215","","","1,650","","","562","","","","3,060",""
"Regional Correctional Facilities","","","639","747","","","314","","","1,477","","","766","","","","3,943",""
"Community Work Centers","","","481","251","","","0","","","73","","","0","","","","805",""
"Community Trusties","","","26","10","","","0","","","2","","","0","","","","38",""
"Pending File Review","","","49","46","","","2","","","14","","","3","","","","114",""
"Court Order","","","67","87","","","8","","","50","","","10","","","","222",""
"TVC","","","2","14","","","0","","","3","","","1","","","","20",""
"TOTAL CUSTODY POPULATION","","","3,984","4,080","","","1,096","","","7,195","","","2,822","","","","19,177",""
"% OF TOTAL OFFENSES","","","20.77%","21.28%","","","5.72%","","","37.52%","","","14.72%","","","","100.00%",""
"Intensive Supervison Program","","","301","350","","","11","","","56","","","6","","","","724",""
"Earned Release Supervision","","","172","42","","","126","","","292","","","5","","","","637",""
"Medical Release","","","6","4","","","0","","","2","","","0","","","","12",""
"Other Custody","","","180","218","","","14","","","91","","","23","","","","526",""
"At Large","","","","14","","","0","","","6","","","0","","","","28",""
"Transitional Housing","","","","2","","","0","","","0","","","0","","","","",""
"Conditional Release","","","8 0 0 2 1","0","","","0","","","2","","","0","","","","22",""
"RRP","","","","10","","","0","","","4","","","0","","","","16",""
"Off-Grounds Medical (Hospital)","","","","1","","","0","","","2","","","0","","","","4",""
"TOTAL","","","4,654","4,721","","","1,247","","","7,650","","","2,856","","","","21,128",""
"% OF TOTAL OFFENSES","","","22.03%","22.35%","","","5.90%","","","36.21%","","","13.52%","","","","100.00%","5 4"
