"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","","","",""
"","","Black","","","White","","","Hispanic","","","Native American","","","Asian","","","Data Unavailable","","TOTAL"
"LOCATION","Male","","Female","Male","","Female","Male","","Female","Male","","Female","Male","","Female","Male","Female","",""
"MSP","2,114","","0","963","","0","20","","0","4","","0","6","","0","1","0","","3,108"
"CMCF","833","","365","445","","405","6","","5","3","","2","3","","2","0","0","","2,069"
"SMCI","1,513","","0","867","","0","32","","0","1","","0","8","","0","0","0","","2,421"
"County Jails (approved)","620","","27","380","","43","4","","0","0","","0","0","","1","0","0","","1,075"
"County Jails (unapproved)","79","","5","46","","7","1","","0","0","","0","0","","0","0","0","","138"
"Youthful Offender Facility","23","","0","4","","0","0","","0","0","","0","0","","0","0","0","","27"
"Private Prisons","3,134","","0","1,022","","0","38","","0","8","","0","8","","0","0","0","","4,210"
"Regional Correctional Facilities","2,657","","120","1,161","","142","36","","3","2","","0","7","","0","0","0","","4,128"
"Community Work Centers","599","","56","291","","116","0","","1","2","","0","1","","0","2","0","","1,068"
"Community Trusties","6","","0","3","","0","0","","0","0","","0","0","","0","0","0","","9"
"Pending File Review","32","","5","19","","5","1","","0","0","","0","1","","0","0","0","","63"
"Court Order","141","","6","88","","21","1","","0","0","","0","0","","1","0","0","","258"
"","11,751","","584","5,289","","739","139","","9","20","","2","34","","4","3","0","","18,574"
"Intensive Supervison Program","491","","132","387","","231","5","","4","0","","2","3","","0","1","1","","1,257"
"Earned Release Supervision","672","","60","222","","44","4","","0","2","","0","1","","0","0","0","","1,005"
"Medical Release","10","","0","7","","2","0","","0","0","","0","0","","0","0","0","","19"
"Other Custody","246","","11","186","","20","49","","6","2","","1","4","","0","3","0","","528"
"At Large","16","","0","6","","2","3","","0","0","","0","0","","0","0","0","","27"
"Off-Grounds Medical (Hospital)","4","","0","5","","0","0","","0","0","","0","0","","0","0","0","","9"
"TOTAL","13,190","","787","6,102","","1,038","200","","19","24","","5","42","","4","7","1","","21,419"
"% OF TOTAL OFFENDERS","61.58%","","3.67%","28.49%","","4.85%",".93%","",".09%",".11%","",".02%",".20%","",".02%",".03%",".00%","","100.00%"
"BY OFFENSE AND LOCATION","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","AGGRAVATED","","","","","","","","","","",""
"","","","DRUG","","PROPERTY","","","ASSUALT","","","VIOLENT","","","SEX","","","","",""
"LOCATION","","","OFFENSES","","OFFENSES","","","OFFENSES","","","OFFENSES","","","OFFENSES","","","","TOTAL",""
"MSP","","","591","","582","","","173","","","1,261","","","501","","","","3,108",""
"CMCF","","","496","","517","","","106","","","703","","","247","","","","2,069",""
"SMCI","","","458","","538","","","109","","","839","","","477","","","","2,421",""
"County Jails (approved)","","","571","","339","","","25","","","85","","","55","","","","1,075",""
"Youthful Offender Facility","","","","","1","","","5","","","18","","","3","","","","27",""
"County Jails (unapproved)","","","4","","60","","","5","","","23","","","6","","","","138",""
"Private Prisons","","","494","","600","","","294","","","2,099","","","723","","","","4,210",""
"Regional Correctional Facilities","","","726","","717","","","361","","","1,451","","","873","","","","4,128",""
"Community Work Centers","","","640","","420","","","0","","","8","","","0","","","","1,068",""
"Community Trusties","","","","","","","","0","","","0","","","0","","","","9",""
"Pending File Review","","","9","","0","","","2","","","10","","","2","","","","63",""
"Court Order","","","92","","104","","","15","","","41","","","6","","","","258",""
"TOTAL CUSTODY POPULATION","","","4,149","","3,899","","","1,095","","","6,538","","","2,893","","","","18,574",""
"% OF TOTAL OFFENSES","","","22.34%","","20.99%","","","5.90%","","","35.20%","","","15.58%","","","","100.00%",""
"Intensive Supervison Program","","","530","","673","","","14","","","35","","","5","","","","1,257",""
"Earned Release Supervision","","","277","","160","","","161","","","402","","","5","","","","1,005",""
"Medical Release","","","10","","7","","","0","","","2","","","","","","","19",""
"Other Custody","","","191","","208","","","17","","","86","","","6","","","","528",""
"At Large","","","","","4","","","0","","","7","","","0","","","","27",""
"Off-Grounds Medical (Hospital)","","","","","","","","1","","","2","","","1","","","","9",""
"TOTAL","","","5,165","","4,964","","","1,288","","","7,072","","","2,930","","","","21,419",""
"% OF TOTAL OFFENSES","","","24.12%","","23.18%","","","6.01%","","","33.02%","","","13.68%","","","","100.00%","0 4
8 2
6 2
1 2
31
0 2"
