"ACTIVE OFFENDER POPULATION","",""
"BY TYPE","",""
"","NO. OF","% OF TOTAL"
"","OFFENDERS","OFFENDERS"
"INMATES","",""
"Custody Population","22,629","35.98%"
"Community Corrections (ERS, ISP, Medical Release)","3,314","5.27%"
"Other Custody","482",".77%"
"At Large (Escapees & Walk-Aways)","33",".05%"
"Off-Grounds Medical (Hospital)","9",".01%"
"INMATE TOTAL","26,467","42.09%"
"PAROLEES","6,483","10.31%"
"PROBATIONERS","29,936","47.60%"
"PAROLEE AND PROBATIONER TOTAL","36,419","57.91%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","62,886","100.00%"
