"BY TYPE","","",""
"","NO. OF","% OF TOTAL",""
"","OFFENDERS","OFFENDERS",""
"INMATES","","",""
"Custody Population","19,930","48.30%",""
"Community Corrections (ERS, ISP, Medical Release)","2,539","6.15%",""
"Other Custody","244","0.59%",""
"At Large (Escapees & Walk-Aways)","97","0.24%",""
"University of MS Medical Center","6","0.01%",""
"","22,816","55.29%","Inmate Total"
"PAROLEES","1,816","4.40%",""
"PROBATIONERS","16,633","40.31%",""
"","18,449","44.71%","Parolees & Probationers Total"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","41,265","100.00%",""
